bridge_id,date_or_period,artifact_or_code,proved_fact,evidentiary_role,source_id,inference_limit
TC143_01,2001-06,Nota de pago,Cuenta de gastos con banco/sucursal/cuenta para comisiones y transferencias,PRE_2008_FUNCTION_PROVED,e0_dgsiaf_slu_note_payment_2001,Mecanismo y esquema contemporáneos no equivalen a fila target; confirmar versión/código 2008.
TC143_02,2002-09,conc_01.rep,"Exporta movimientos de extracto, debe/haber/saldo y estado N/P/T",PRE_2008_EXTERNAL_SCHEMA_PROVED,e0_dgsiaf_slu_bank_reconciliation_reports_2002,Mecanismo y esquema contemporáneos no equivalen a fila target; confirmar versión/código 2008.
TC143_03,2002-09,conc_02.rep,"Exporta Libro Banco, formulario, beneficiario, debe/haber/saldo y estado",PRE_2008_INTERNAL_SCHEMA_PROVED,e0_dgsiaf_slu_bank_reconciliation_reports_2002,Mecanismo y esquema contemporáneos no equivalen a fila target; confirmar versión/código 2008.
TC143_04,2002-09,N/P/T,Estados no/parcial/totalmente conciliado,PRE_2008_STATE_SCHEMA_PROVED,e0_dgsiaf_slu_bank_reconciliation_reports_2002,Mecanismo y esquema contemporáneos no equivalen a fila target; confirmar versión/código 2008.
TC143_05,2004-04/2005-06,C55-REG Débito Directo,Comisión cobrada como débito bancario sin OP original y con cuenta obligatoria,PRE_2008_COMMISSION_FORM_PROVED,e0_dgsiaf_slu_global_regularization_2004,Mecanismo y esquema contemporáneos no equivalen a fila target; confirmar versión/código 2008.
TC143_06,2004-04/2005-06,I/X/E/C/R,Estado e historial de envío/respuesta central,PRE_2008_FORM_STATE_PROVED,e0_dgsiaf_slu_global_regularization_2004,Mecanismo y esquema contemporáneos no equivalen a fila target; confirmar versión/código 2008.
TC143_07,2005-08-16,Rama Servicio de Deuda,No cobra gastos y comisiones,PRE_2008_NEGATIVE_BRANCH_PROVED,e0_dgsiaf_slu_system_description_v3,Mecanismo y esquema contemporáneos no equivalen a fila target; confirmar versión/código 2008.
TC143_08,2005-08-16,Rama transferencia exterior/carta de crédito,Sí genera gastos y comisiones en cuenta del servicio,PRE_2008_POSITIVE_BRANCH_PROVED,e0_dgsiaf_slu_system_description_v3,Mecanismo y esquema contemporáneos no equivalen a fila target; confirmar versión/código 2008.
TC143_09,2005-08-16,Conciliación automática,"Comisiones, pagos, rechazos y débito diario siguen carriles diferenciados",PRE_2008_RECONCILIATION_FUNCTION_PROVED,e0_dgsiaf_slu_system_description_v3,Mecanismo y esquema contemporáneos no equivalen a fila target; confirmar versión/código 2008.
TC143_10,2013,230/AUTO,Cuenta y código de débito automático; gastos bancarios como ejemplo,POST_2008_NEAR_CROSSWALK,e0_tgn_manual_system_treasury_v1,Mecanismo y esquema contemporáneos no equivalen a fila target; confirmar versión/código 2008.
TC143_11,2022,230/DBAUTO-CRAUTO,Función 230 estable y código separado por signo,POST_2008_CONTINUITY_CROSSWALK,e0_tgn_treasury_system_v3_2022_cut_extract,Mecanismo y esquema contemporáneos no equivalen a fila target; confirmar versión/código 2008.
TC143_12,2008,Código/catálogo target,Literal exacto 230/AUTO y fila individual aún no recuperados,EXACT_TARGET_OPEN,E0_CUT_TARGET_QUERY_RUNBOOK_V165.csv,Mecanismo y esquema contemporáneos no equivalen a fila target; confirmar versión/código 2008.


