break_id,dimension,problem,rule,status,evidence
authorization_not_realization,phase,Legal authorization or ceiling does not prove issuance delivery or payment.,Keep authorization in its own phase and never carry amounts forward automatically.,FROZEN,Decree 214 art. 7; Decree 905 arts. 28-29; Law 25.796 arts. 2-4
formula_not_total,aggregation,Decree 905 defines entity-level balance formulas without a closed aggregate amount.,Report the formula and leave the aggregate open until issuer/accounting evidence supplies it.,FROZEN,Decree 905 art. 29
issuance_not_cash,phase,Issued and placed debt is a liability stock rather than a cash disbursement.,Label stock and instrument; do not call it paid cash.,FROZEN,CGN 2002 p.34; ONP 2003Q4 cuadro 37
nominal_vs_updated,valuation,Original nominal amount and updated ARS/USD values are different measures.,Preserve source currency date and valuation basis; never mix columns.,FROZEN,CGN 2002 p.34; ONP 2003Q4 cuadro 37
stock_not_flow,time,End-year stocks combine issuance amortization redemption valuation and corrections.,Do not infer annual flows from stock deltas without a transaction bridge.,FROZEN,E0_FISCAL_STOCK_FLOW_BRIDGE_V110.csv
issuer_vs_holder,universe,Treasury issuer stock and BCRA-reported bank holdings/receivables cover different universes.,Keep ONP/CGN issuer tables separate from BCRA beneficiary balance-sheet stocks.,FROZEN,ONP 2003Q4 cuadro 37; BCRA BEF table IV.1
receivable_not_received,phase,Compensaciones a recibir are recognized claims rather than delivered assets.,Classify as receivable and not as payment.,FROZEN,BCRA BEF table IV.1
accounting_transfer_not_cash,accounting,CGN transfers-granted rows are compatibility/reconciliation entries between budget and accounting records.,Use as accounting recognition and not as proof of cash movement.,FROZEN,CGN 2002 p.126; CGN 2003 p.136
mixed_boden_origins,purpose,Broad BODEN totals include compensation coverage depositors quasi-currency redemption and 13-percent restitution.,Use the official purpose buckets and never label total BODEN as bank aid.,FROZEN,ONP 2003Q4 cuadro 37
coverage_not_free_transfer,mechanism,Coverage can involve exchange or subscription and potential BCRA financing after applying peso bonds.,Separate compensation exchange subscription and BCRA advance legs.,FROZEN,Decree 905 art. 29(e-g); BCRA 2003 pp.82-83
bcra_advance_not_treasury_transfer,institution,BCRA advances and BCRA obligations to the Treasury are financing balances.,Keep them out of Treasury compensation flows.,FROZEN,BCRA 2003 pp.82-86
amparo_deferral_not_compensation,mechanism,Sixty-installment loss deferral smooths accounting recognition.,Exclude from fiscal transfer amounts.,FROZEN,BCRA BEF p.24
final_validation_pending,vintage,The definitive compensation amount and assets remained pending at end-2003.,Do not publish a final through-2003 realized total.,FROZEN,BCRA 2003 pp.82-83
named_pagare_overlap,entity,Named 2003 accounting entries may overlap pre-existing instrument stocks.,Do not add Galicia/Citibank notes to ONP stocks without instrument identifiers and dates.,FROZEN,CGN 2003 p.136; ONP 2002/2003 stock tables
compensation_not_net_gain,incidence,A compensation asset can coexist with losses funding costs duration mismatch and FX mismatch.,Do not equate gross compensation with bank profit or final household-to-bank incidence.,FROZEN,BCRA Congress 2002 pp.28-36; BCRA BEF pp.8-49
workbook_scope_gap,source,hist_bcra_baldethis.xls contains risk/result tables but no detailed fiscal compensation ledger.,Record the negative audit and do not fabricate a fiscal series from unrelated balance rows.,FROZEN,Read-only workbook inspection V110
legal_convalidation_not_current_flow,time,A later budget law can validate an earlier extra-budgetary registration.,Attribute the amount to its original accounting period and keep the later act non-additive.,FROZEN,CGN Cuenta 2004 tomo I p.65
practically_finalized_not_closed,status,Qualitative administrative finalization can precede later issues and corrections.,Do not treat narrative closure language as a transactional endpoint.,FROZEN,CGN 2004 SDP p.71; CGN 2005-2006 SDP Anexo J
negative_net_issuance_is_correction,flow,Net issuance after prior-placement adjustments can be negative.,Preserve the sign and do not replace with zero or call it amortization.,FROZEN,CGN 2005 SDP p.87; CGN 2006 SDP p.132
budget_accrual_not_cash,accounting,A devengado transfer is not proof of cash settlement by beneficiary and date.,Label budget accrual and require payment records for cash.,FROZEN,CGN 2005 tomo I p.118; CGN 2006 tomo I p.142
mixed_banks_depositors_bucket,universe,Budget headings combine banks and depositors.,Use bank-specific rows when available; keep the mixed bucket as control only.,FROZEN,ONP 2005Q4 p.19; ONP 2006Q4 p.22
bna_capitalization_separate,mechanism,The 2006 assistance bucket includes BNA capitalization.,Subtract nothing mechanically; retain the whole bucket as non-additive and use identified components separately.,FROZEN,ONP 2006Q4 p.22
series_service_mixed_purpose,purpose,BODEN 2007 and 2012 service aggregates holders from multiple purposes.,Do not allocate series amortization to banks without holder-purpose records.,FROZEN,CGN 2006 tomo I p.137
coverage_subscription_not_transfer,mechanism,Coverage bonds are subscribed and can involve a price payment and financing.,Separate VNO issue subscription paid and price-difference transfer.,FROZEN,CGN 2005-2006 SDP; ONP 2005Q4 p.19
bank_deposit_counterflow,direction,Financial-entity deposits under Decree 905 run from banks to the Treasury.,Keep the counterflow out of gross Treasury-to-bank compensation.,FROZEN,CGN 2005 tomo I p.124; CGN 2006 tomo I p.136
mixed_placement_not_transfer,accounting,A financing-source placement line differs from a current-transfer accrual.,Never sum placement financing with transfer execution absent accounting keys.,FROZEN,CGN 2006 tomo I pp.136 and 142
law25796_issue_not_ceiling,phase,Law 25.796 ceiling and later net issues are different phases.,Report authorized ceiling separately from 2005-2006 issuance.,FROZEN,Law 25.796; CGN 2005-2006 SDP
agn_specific_audit_gap_persists,source,Official AGN search did not identify a mechanism-specific public report.,Keep independent audit reconciliation open and do not substitute unrelated reports.,FROZEN,Official AGN-site search V111
