report,code,label,frequency,economic_bucket,ief_mapping,counterparty_axis,accounting_mode_axis,v59_status,caveat
Estado de Resultados 015,0501010010,Ingresos por intereses,TRIMESTRAL_ANUAL,BROAD_INTEREST_INCOME,NOT_DIRECT,MIXED,MIXED,DIRECT_MAPPING_REJECTED,Broad published line; Annex Q shows it contains multiple sources analytically separated by IEF.
Anexo Q,0301020000,Intereses por títulos privados,ANUAL,SECURITIES_INTEREST,PART_OF_MULTIPLE_ANALYTICAL_BUCKETS_POSSIBLE,PRIVATE_ISSUER,EIR_AMORTIZED_COST,SCHEMA_IDENTIFIED_VALUES_SYSTEM_Q4_ND,Interest only; not equivalent to total securities result c/ORI.
Anexo Q,0301030000,Intereses por títulos públicos,ANUAL,SECURITIES_INTEREST,PART_OF_MULTIPLE_ANALYTICAL_BUCKETS_POSSIBLE,PUBLIC_ISSUER_MIXED,EIR_AMORTIZED_COST,SCHEMA_IDENTIFIED_VALUES_SYSTEM_Q4_ND,Public issuer is not automatically Treasury; flow does not identify BCRA/Treasury split.
Anexo Q,0301050000,Intereses por préstamos y otras financiaciones,ANUAL,LOAN_INTEREST,CANDIDATE_FOR_IEF_CONVENTIONAL_INTEREST_PLUS_INDEXATION,BORROWERS_MIXED,EIR_AMORTIZED_COST,SCHEMA_IDENTIFIED,Contains sector/product subaccounts; annual frequency blocks direct Q3/Q4 system bridge.
Anexo Q,0301050400,Hipotecarios,ANUAL,LOAN_INTEREST_PRODUCT,INTEREST_FLOW_SUBACCOUNT,HOUSEHOLD_LIKE_NOT_EXCLUSIVE,EIR_AMORTIZED_COST,HOUSEHOLD_SCHEMA_PARTIAL,Product category is not a legal-person sector classification.
Anexo Q,0301050500,Prendarios,ANUAL,LOAN_INTEREST_PRODUCT,INTEREST_FLOW_SUBACCOUNT,HOUSEHOLD_LIKE_NOT_EXCLUSIVE,EIR_AMORTIZED_COST,HOUSEHOLD_SCHEMA_PARTIAL,May include commercial/other borrowers.
Anexo Q,0301050600,Personales,ANUAL,LOAN_INTEREST_PRODUCT,INTEREST_FLOW_SUBACCOUNT,HOUSEHOLD_LIKE_STRONG,EIR_AMORTIZED_COST,HOUSEHOLD_SCHEMA_IDENTIFIED_BUT_NO_SYSTEM_Q4_VALUE,"Strong household orientation, but product != exact sector and annual only."
Anexo Q,0301050700,Tarjetas de crédito,ANUAL,LOAN_INTEREST_PRODUCT,INTEREST_FLOW_SUBACCOUNT,HOUSEHOLD_LIKE_STRONG,EIR_AMORTIZED_COST,HOUSEHOLD_SCHEMA_IDENTIFIED_BUT_NO_SYSTEM_Q4_VALUE,"Strong household orientation, but product != exact sector and annual only."
Anexo Q,0301060000,Intereses por operaciones de pase y cauciones,ANUAL,PASSES_INTEREST,IEF_PASSES_CANDIDATE,MIXED_REPO_COUNTERPARTY,EIR_REPO,SCHEMA_IDENTIFIED,Counterparty subaccounts below.
Anexo Q,0301060100,Pases/cauciones - BCRA,ANUAL,PASSES_INTEREST,IEF_PASSES_CANDIDATE,BCRA,EIR_REPO,DIRECT_BCRA_SCHEMA_STRONG,Entity accounting notes confirm active-pass interest credits Ingresos por intereses; system Q4 analytical passes already directly linked to BCRA institutionally.
Anexo Q,0301060200,Pases/cauciones - otras entidades financieras,ANUAL,PASSES_INTEREST,IEF_PASSES_CANDIDATE,FINANCIAL_INSTITUTIONS,EIR_REPO,SCHEMA_IDENTIFIED,Not household.
Anexo Q,0402000000,Intereses/ajustes por títulos de deuda públicos medidos a FVOCI,ANUAL,SECURITIES_INTEREST_ORI,PART_OF_SECURITIES_C_ORI,PUBLIC_ISSUER_MIXED,FVOCI_EIR_AND_ORI,SCHEMA_IDENTIFIED_VALUES_Q4_ND,Issuer and accounting-mode axes remain distinct.
Anexo Q,0101010000,Resultado de títulos públicos a valor razonable con cambios en resultados,ANUAL,SECURITIES_FAIR_VALUE_RESULT,PART_OF_SECURITIES_RESULT,PUBLIC_ISSUER_MIXED,FVTPL,SCHEMA_IDENTIFIED_VALUES_Q4_ND,"Result flow exists, but no BCRA/Treasury issuer split identified from this row alone."
Estado de Resultados 015,0502100000,Diferencia de cotización de oro y moneda extranjera,TRIMESTRAL_ANUAL,FX_BROAD_RESULT,FX_CANDIDATE_NOT_COUNTERPARTY_SPLIT,MIXED_OR_NONE_FOR_REMEASUREMENT,REMEASUREMENT_PLUS_TRADING,MODE_MIXED_STRONG,Cannot classify all FX result as market valuation or household transfer.
