episode_id,episode_name,t0,shock_type,variable,sector,frequency,pre_value,trough_value,trough_date,recovery_value,recovery_date,months_to_trough,months_to_recovery,benchmark_definition,source_id,source_quality,basis,method_break,status,interpretation,falsifier,notes
E0,Crisis de convertibilidad / default / salida / reordenamiento financiero,N/D,OTHER,episode_source_map,CROSS_SECTOR,EPISODE,N/D,N/D,N/D,N/D,N/D,N/D,N/D,"t0 and incidence classification must be documented before measurement",MATRIZ_SIGNO_INCIDENCIA_2002_2026_V41.csv,BACKGROUND,"Inherited pre-V52 summary",YES_SPECIAL_FINANCIAL_REORDERING,NOT_ENOUGH_EVIDENCE,"Both households and banks suffered high costs, but comparable primary-source incidence has not been reconstructed.",YES_AGAINST_SIMPLISTIC_HOUSEHOLDS_LOSE_BANKS_WIN,"Do not use E0 to validate the central hypothesis until the documentary branch is built."
E1,Crisis financiera global 2008–2009,2008,GLOBAL_FINANCIAL_SHOCK,immediate_household_drawdown,HOUSEHOLDS,EPISODE,N/D,NO_ROBUST_IMMEDIATE_DRAWDOWN,2008,N/D,N/D,N/D,N/D,"same immediate household onset required by universal-cycle claim",MATRIZ_SIGNO_INCIDENCIA_2002_2026_V41.csv,SUPPORTED,"Inherited V31/V41 episode control",NO,FALSIFIER,"No robust immediate and deep household drawdown under the inherited specifications.",YES_UNIVERSAL_CYCLE,"External-shock control; do not relabel as supporting evidence without a new treatment definition."
E2,Devaluación y aceleración 2014,2014-01,DOMESTIC_POLICY_SHOCK,real_income_drawdown,HOUSEHOLDS,MONTHLY,N/D,DETERIORATION,2014-01,PARTIAL_RECOVERY_CENSORED,N/D,0,N/D,"pre-shock real-income level",EVIDENCE_LEDGER_CICLO_AJUSTE_V51.csv,SUPPORTED,"Inherited multi-series synthesis",NO,PARTIAL_MATCH,"Household real income falls rapidly; exact common recovery clock remains unresolved.",NO,"Outcome must remain separated between registered and broad income."
E2,Devaluación y aceleración 2014,2014-01,DOMESTIC_POLICY_SHOCK,mora_first_sustained,RISK,MONTHLY,N/D,N/D,2014-02,N/D,N/D,1,N/D,"first sustained family-mora increase after t0",LEAD_LAG_AUDIT_V45.csv,SUPPORTED,"BCRA historical mora sequence",NO,PARTIAL_MATCH,"Household shock precedes sustained family-mora rise by about one month, but later links are not a clean linear chain.",NO,"+0.3pp threshold occurs 2014-04; +0.5pp in 2014-07."
E2,Devaluación y aceleración 2014,2014-01,DOMESTIC_POLICY_SHOCK,abnormal_ROA_gap,BANKS,MULTI_WINDOW,"pre-episode comparable benchmarks",N/D,N/D,"+0.8 to +1.9 pp",2014,N/D,N/D,"Q2, YTD and rolling-12m benchmarks",EPISODE_ABNORMAL_VERDICTS_V49.csv,SUPPORTED,"BCRA system profitability; multiple benchmarks",NO,MIXED,"Positive abnormal direction is robust descriptively; pretrend exists and causal attribution is not established.",NO,"Annual component bridge is securities-led, not FX-led."
E2,Devaluación y aceleración 2014,2014-01,DOMESTIC_POLICY_SHOCK,net_irregular_private_credit_exposure_to_PN,BANKS,SEMIANNUAL,-3.5%,-2.9%,2014-06,-2.9%,2014-12,5,N/D,"irregular private portfolio net of provisions / net worth",BANK_NET_EXPOSURE_TO_PN_V44.csv,EXACT,"BCRA historical solidity tables",NO,PARTIAL_MATCH,"Credit-risk exposure remains negative and far from buffer saturation despite stress.",YES_BANKS_NOT_ALWAYS_GAINING,"This measures solvency absorption, not profits or all risks."
E2,A5590 — topes a tasas,2014-06-10,DOMESTIC_POLICY_SHOCK,credit_rate_cap,STATE_BCRA,EVENT,N/D,HOUSEHOLD_PROTECTION,2014-06-10,N/D,N/D,0,N/D,"declared regulatory incidence",MATRIZ_SIGNO_INCIDENCIA_2002_2026_V41.csv,PRIMARY,"Official BCRA regulation/source pointer",NO,MIXED,"The measure protects targeted borrowers and constrains bank pricing.",YES_UNIVERSAL_PRO_BANK_REGULATION,"Regulatory sign is not universally pro-bank."
E3,Laboratorio regulatorio 2015–2016,N/D,OTHER,A5853_rate_cap_removal,STATE_BCRA,EVENT,HOUSEHOLD_CAP_PROTECTION,PROTECTION_REMOVED,2015-12-17,BANK_PRICING_FREEDOM,2015-12-17,0,0,"declared regulatory incidence",MATRIZ_SIGNO_INCIDENCIA_2002_2026_V41.csv,PRIMARY,"Official BCRA regulation/source pointer",NO,MIXED,"Rate liberalization has the opposite sign from A5590/A5928.",NO,"Control of policy-sign heterogeneity; not treated as a main shock episode."
E3,Laboratorio regulatorio 2015–2016,N/D,OTHER,A5928_debtor_insurance,STATE_BCRA,EVENT,USER_PAID_INSURANCE,BANK_COST_OR_SELF_INSURANCE,2016-09-01,LOWER_USER_CFT_COMPONENT,2016-09-01,0,0,"mechanical incidence on insurance cost/risk",MAPA_HIPOTESIS_POST_FALSADORES_V41.csv,SUPPORTED,"BCRA rule plus matched-product/disclosure work V34–V40",NO,MIXED,"Cost/risk shifts away from the borrower; systemic net-profit effect remains N/D.",YES_UNIVERSAL_PRO_BANK_REGULATION,"Strong positive falsification control against a one-sign institutional narrative."
E4,Crisis cambiaria / FMI / tasas 2018–2019,2018-05,MIXED,use_of_savings,HOUSEHOLDS,SEMIANNUAL,27.6%,30.2%,2018-2S,N/D,N/D,6,N/D,"EPH maintenance-strategy incidence",MATRIZ_V22_AMORTIGUADORES_2018_2024.csv,EXACT,"Observed EPH total-household percentages",NO,PARTIAL_MATCH,"Dissaving rises through 2018 but remains below the 2024 peak.",NO,"1S and 2S values are 27.6% and 30.2%."
E4,Crisis cambiaria / FMI / tasas 2018–2019,2018-05,MIXED,bank_finance_loans_strategy,HOUSEHOLDS,SEMIANNUAL,13.7%,13.2%,2018-2S,N/D,N/D,6,N/D,"EPH maintenance-strategy incidence",MATRIZ_V22_AMORTIGUADORES_2018_2024.csv,EXACT,"Observed EPH total-household percentages",NO,MIXED,"Declared use of bank/financial loans does not rise between the two 2018 halves.",YES_SIMPLE_IMMEDIATE_CREDIT_BRIDGE,"Extensive-margin strategy is not the same as credit stock or originations."
