target,product,pre,post,pair_status,source_quality,archival_next_step,blocker,notes
Banco Columbia,Préstamos personales,RECOVERED_AUG2016,RECOVERED_SEP2016,MATCHED_PREPOST_CLEAN,PRIMARY_BANK_ARCHIVE,NONE_REQUIRED_FOR_MECHANISM,,23 pares V34; único banco con gate estricto completo.
HSBC Bank Argentina,Préstamos personales,RECOVERED_2016-08-04_INTERNAL_WITH_WITHOUT_INSURANCE,NOT_RECOVERED_IMMEDIATE,INTERNAL_PRE_COUNTERFACTUAL_ONLY,HISTORICAL_RATE_SHEET,Buscar tarifa Sep/Oct misma segmentación,Post inmediato no recuperado,16 comparaciones misma TNA; seguro agrega ~2.04 pp.
BBVA Banco Francés,Préstamos personales Premium World,NOT_RECOVERED_IMMEDIATE,RECOVERED_SEP_AND_NOV2016,CLEAN_POST_ONLY,PRIMARY_BANK_PDF,Wayback/CDX + archivo fbin/mult julio/agosto,Pre personal inmediato no recuperado,"Sep/Nov: TNA36, CFTNA43.62, residual ~0.06 pp."
Santander Río,Préstamos personales,HISTORICAL_INSURANCE_SCHEDULE_PRESERVED,IMPLEMENTATION_RULE_PRESERVED,DOCUMENTARY_NOT_PRICING_PAIR,PRIMARY_BANK_LEGAL,Tarifario personal Ago/Sep 2016,Sin TNA+CFT homogéneos pre/post,Página oficial conserva 0.13/0.18% mensual para operaciones pre y no-cobro post.
Banco Macro,Préstamos personales / créditos,SECONDARY_PRE_CONTEXT_AND_JUDICIAL_CLASS,DOCUMENTARY_IMPLEMENTATION,DOCUMENTARY_NOT_PRICING_PAIR,MIXED,"Expediente 8434/2016, anexos tarifarios/pericias",Sin tarifario post inmediato comparable,Acuerdo 2025 confirma universo con cargo hasta corte A5928.
Banco Galicia,Préstamos personales,NOT_RECOVERED,DOCUMENTARY_IMPLEMENTATION,DOCUMENTARY_ONLY,PRIMARY_BANK_CURRENT,Expedientes consumo/Wayback,Sin pre/post histórico de pricing,"Regla post documentada, no par."
Credicoop,Préstamos personales,NOT_RECOVERED_PERSONAL,NOT_RECOVERED_PERSONAL,CROSS_PRODUCT_CONTROL_ONLY,CONTEMPORARY_PROMO_PDF,Tarifarios personales 2016,"Hallazgo disponible es tarjeta, no personal",Control tarjeta V35 3.15->0 con TNA0.
Banco Hipotecario,Préstamos personales,NOT_RECOVERED_PERSONAL,NOT_RECOVERED_PERSONAL,CROSS_PRODUCT_CONTROL_ONLY,CONTEMPORARY_SECONDARY_TRANSCRIPTION,Archivo banco/Wayback,Hallazgo disponible es tarjeta,Control V35 3.53->0 con TNA0.
ICBC,Préstamos personales,NOT_RECOVERED,NOT_RECOVERED_PERSONAL,SOURCE_CONFLICT_CROSS_PRODUCT,MIXED,Tarifario específico personal,Conflicto promo genérica vs PDF específico,No usar para gate.
BCRA Régimen de Transparencia histórico,Préstamos personales,SCHEMA_VERIFIED_HISTORICAL,SCHEMA_VERIFIED_HISTORICAL,DATA_NOT_RECOVERED,PRIMARY_BCRA_SCHEMA,Solicitar/exportar snapshots 2016 del viejo iaureg010000.asp / backend histórico,Catálogo actual sólo expone cobertura moderna; histórico 2016 no recuperado,El régimen histórico exigía CFT/TNA bajo supuesto estandarizado; potencialmente el mejor panel de ofertas.
Wayback/CDX,URLs históricas bancarias,NOT_ACCESSED,NOT_ACCESSED,RUNTIME_ACCESS_FAILED,N/A,Ejecutar en runtime con red normal,DNS/egress del runtime de ejecución,No inferir que los snapshots no existen.
