scope,subcomponent,label,flow_thousand_constant_ars,share_of_bna_annex_q_broad_interest_pct,counterparty_proxy,household_link,use_in_system_q4_estimate,status,note
BNA_2023_CONSOLIDATED_ANNUAL_EXAMPLE,cash_deposits,Cash/deposits in banks,8129278,0.0762,BANKS_OR_CASH,NO,PROHIBITED,ENTITY_LEVEL_WORKED_EXAMPLE,Illustrative composition only; not system-wide and not quarter-compatible.
BNA_2023_CONSOLIDATED_ANNUAL_EXAMPLE,private_securities,Private securities,5543130,0.052,CORPORATE_ISSUERS,NO,PROHIBITED,ENTITY_LEVEL_WORKED_EXAMPLE,Illustrative composition only; not system-wide and not quarter-compatible.
BNA_2023_CONSOLIDATED_ANNUAL_EXAMPLE,public_securities,Public securities,7044242079,66.0327,PUBLIC_ISSUERS_MIXED,NO,PROHIBITED,ENTITY_LEVEL_WORKED_EXAMPLE,Illustrative composition only; not system-wide and not quarter-compatible.
BNA_2023_CONSOLIDATED_ANNUAL_EXAMPLE,loans_total,Loans and other financing,2839735912,26.6197,BORROWERS_MIXED,MIXED,PROHIBITED,ENTITY_LEVEL_WORKED_EXAMPLE,Illustrative composition only; not system-wide and not quarter-compatible.
BNA_2023_CONSOLIDATED_ANNUAL_EXAMPLE,mortgages,Mortgages,175255802,1.6428,HOUSEHOLD_LIKE_NOT_EXCLUSIVE,PARTIAL,PROHIBITED,ENTITY_LEVEL_WORKED_EXAMPLE,Illustrative composition only; not system-wide and not quarter-compatible.
BNA_2023_CONSOLIDATED_ANNUAL_EXAMPLE,pledged,Pledged loans,88952987,0.8338,HOUSEHOLD_LIKE_NOT_EXCLUSIVE,PARTIAL,PROHIBITED,ENTITY_LEVEL_WORKED_EXAMPLE,Illustrative composition only; not system-wide and not quarter-compatible.
BNA_2023_CONSOLIDATED_ANNUAL_EXAMPLE,personal,Personal loans,208491440,1.9544,HOUSEHOLD_LIKE_STRONG,PARTIAL,PROHIBITED,ENTITY_LEVEL_WORKED_EXAMPLE,Illustrative composition only; not system-wide and not quarter-compatible.
BNA_2023_CONSOLIDATED_ANNUAL_EXAMPLE,cards,Credit cards,144627682,1.3557,HOUSEHOLD_LIKE_STRONG,PARTIAL,PROHIBITED,ENTITY_LEVEL_WORKED_EXAMPLE,Illustrative composition only; not system-wide and not quarter-compatible.
BNA_2023_CONSOLIDATED_ANNUAL_EXAMPLE,passes_total,Repo operations,770150927,7.2194,REPO_COUNTERPARTIES,NO,PROHIBITED,ENTITY_LEVEL_WORKED_EXAMPLE,Illustrative composition only; not system-wide and not quarter-compatible.
BNA_2023_CONSOLIDATED_ANNUAL_EXAMPLE,passes_bcra,Repo - BCRA,766170918,7.1821,BCRA,NO,PROHIBITED,ENTITY_LEVEL_WORKED_EXAMPLE,Illustrative composition only; not system-wide and not quarter-compatible.
BNA_2023_CONSOLIDATED_ANNUAL_EXAMPLE,narrow_household_like_bundle,Mortgages + pledged + personal + cards,617327911,5.7868,HOUSEHOLD_LIKE_PRODUCT_BUNDLE,PARTIAL_PROXY_ONLY,PROHIBITED,ILLUSTRATIVE_BOUND_NOT_SYSTEM_BOUND,Product-based diagnostic; not exact household sector and not transferable to system Q4.
SYSTEM_Q4_2023_TARGET,0301050600,personal,,,HOUSEHOLD_LIKE_PRODUCT,POSSIBLE_SCHEMA,N_D,VALUE_NOT_AVAILABLE_QUARTER_COMPATIBLE,Annex Q is annual; no system Q4 accrued-flow value identified.
SYSTEM_Q4_2023_TARGET,0301050700,cards,,,HOUSEHOLD_LIKE_PRODUCT,POSSIBLE_SCHEMA,N_D,VALUE_NOT_AVAILABLE_QUARTER_COMPATIBLE,Annex Q is annual; no system Q4 accrued-flow value identified.
SYSTEM_Q4_2023_TARGET,0301050400,mortgages,,,HOUSEHOLD_LIKE_PRODUCT,POSSIBLE_SCHEMA,N_D,VALUE_NOT_AVAILABLE_QUARTER_COMPATIBLE,Annex Q is annual; no system Q4 accrued-flow value identified.
SYSTEM_Q4_2023_TARGET,0301050500,pledged,,,HOUSEHOLD_LIKE_PRODUCT,POSSIBLE_SCHEMA,N_D,VALUE_NOT_AVAILABLE_QUARTER_COMPATIBLE,Annex Q is annual; no system Q4 accrued-flow value identified.
