episode,bridge,component,observed,benchmark,component_gap,unit,accounting_level,role_in_abnormal_gap,source,notes
2014,FY2014_vs_FY2013_EXACT,financial_margin,11.7,10.3,1.4,%a asset,BROAD_COMPONENT,POSITIVE_MAJOR,BCRA BEF I-2015 / Cuadro rentabilidad 2013-2014,Annual bridge is not the Jan shock bridge; useful for persistence of abnormal profitability.
2014,FY2014_vs_FY2013_EXACT,interest_result,5.8,5.9,-0.1,%a asset,MARGIN_SUBCOMPONENT,NEGATIVE_SMALL,BCRA BEF I-2015 / Cuadro rentabilidad 2013-2014,Annual bridge is not the Jan shock bridge; useful for persistence of abnormal profitability.
2014,FY2014_vs_FY2013_EXACT,CER_CVS,0.4,0.3,0.1,%a asset,MARGIN_SUBCOMPONENT,POSITIVE_SMALL,BCRA BEF I-2015 / Cuadro rentabilidad 2013-2014,Annual bridge is not the Jan shock bridge; useful for persistence of abnormal profitability.
2014,FY2014_vs_FY2013_EXACT,securities_result,4.0,2.6,1.4,%a asset,MARGIN_SUBCOMPONENT,POSITIVE_DOMINANT,BCRA BEF I-2015 / Cuadro rentabilidad 2013-2014,Annual bridge is not the Jan shock bridge; useful for persistence of abnormal profitability.
2014,FY2014_vs_FY2013_EXACT,fx_differences,1.2,1.3,-0.1,%a asset,MARGIN_SUBCOMPONENT,NEGATIVE_SMALL,BCRA BEF I-2015 / Cuadro rentabilidad 2013-2014,Annual bridge is not the Jan shock bridge; useful for persistence of abnormal profitability.
2014,FY2014_vs_FY2013_EXACT,other_financial,0.2,0.3,-0.1,%a asset,MARGIN_SUBCOMPONENT,NEGATIVE_SMALL,BCRA BEF I-2015 / Cuadro rentabilidad 2013-2014,Annual bridge is not the Jan shock bridge; useful for persistence of abnormal profitability.
2014,FY2014_vs_FY2013_EXACT,services_result,4.3,4.3,0.0,%a asset,BROAD_COMPONENT,NEUTRAL,BCRA BEF I-2015 / Cuadro rentabilidad 2013-2014,Annual bridge is not the Jan shock bridge; useful for persistence of abnormal profitability.
2014,FY2014_vs_FY2013_EXACT,credit_loss_charges,-1.0,-1.1,0.1,%a asset,BROAD_COMPONENT,POSITIVE_SMALL_LESS_COST,BCRA BEF I-2015 / Cuadro rentabilidad 2013-2014,Annual bridge is not the Jan shock bridge; useful for persistence of abnormal profitability.
2014,FY2014_vs_FY2013_EXACT,administration_expense,-7.4,-7.1,-0.3,%a asset,BROAD_COMPONENT,NEGATIVE,BCRA BEF I-2015 / Cuadro rentabilidad 2013-2014,Annual bridge is not the Jan shock bridge; useful for persistence of abnormal profitability.
2014,FY2014_vs_FY2013_EXACT,tax_charges,-1.7,-1.6,-0.1,%a asset,BROAD_COMPONENT,NEGATIVE_SMALL,BCRA BEF I-2015 / Cuadro rentabilidad 2013-2014,Annual bridge is not the Jan shock bridge; useful for persistence of abnormal profitability.
2014,FY2014_vs_FY2013_EXACT,public_loan_valuation_adjustment,-0.1,0.0,-0.1,%a asset,BROAD_COMPONENT,NEGATIVE_SMALL,BCRA BEF I-2015 / Cuadro rentabilidad 2013-2014,Annual bridge is not the Jan shock bridge; useful for persistence of abnormal profitability.
2014,FY2014_vs_FY2013_EXACT,diverse,0.4,0.3,0.1,%a asset,BROAD_COMPONENT,POSITIVE_SMALL,BCRA BEF I-2015 / Cuadro rentabilidad 2013-2014,Annual bridge is not the Jan shock bridge; useful for persistence of abnormal profitability.
2014,FY2014_vs_FY2013_EXACT,income_tax,-2.0,-1.6,-0.4,%a asset,BROAD_COMPONENT,NEGATIVE,BCRA BEF I-2015 / Cuadro rentabilidad 2013-2014,Annual bridge is not the Jan shock bridge; useful for persistence of abnormal profitability.
2014,FY2014_vs_FY2013_EXACT,ROA,4.1,3.4,0.7,%a asset,TOTAL,TARGET,BCRA BEF I-2015 / Cuadro rentabilidad 2013-2014,Annual bridge is not the Jan shock bridge; useful for persistence of abnormal profitability.
2014,Q2_2014_vs_Q2_2013_PARTIAL,ROA,3.4,2.6,0.8,%a asset,TOTAL,TARGET,BCRA InfBanc Jun-2014,Primary V49 quarter benchmark.
