row_id,action_or_control,exact_rule,target_implication,requested_record,probative_value,limit,status
UD156_01,Planificación,Entender en la planificación global y anual de auditoría,Debía existir una planificación UAI para el ejercicio,"Plan global, plan anual y modificaciones",Prueba deber exacto vigente en 2008-2009,No prueba inclusión del caso target,TARGET_PERIOD_DUTY
UD156_02,Plan anual,Elaborar el plan anual de auditoría interna,"Permite exigir cronograma, proyecto y ejecución",Plan anual 2009 y constancia SISIO,Define productor y clase documental,No prueba aprobación ni carga concreta,TARGET_PERIOD_DUTY
UD156_03,Evaluación,"Evaluar cumplimiento de políticas, planes y procedimientos",La Cuenta 2008 podía integrar una revisión institucional,"Programa, alcance, muestras y conclusión",Fundamenta búsqueda por objeto y método,No identifica informe target,TARGET_PERIOD_DUTY
UD156_04,Normativa,Asesorar en normas y procedimientos de control interno,Debían existir intervenciones o recomendaciones cuando correspondiera,"Dictámenes, notas y recomendaciones",Define familia de registros,No prueba emisión en este caso,TARGET_PERIOD_DUTY
UD156_05,Actos significativos,Evaluar actos y controles de significativa trascendencia económica,Las operaciones relevantes podían ser objeto de control,"Informe, papel de trabajo y selección de muestra",Vincula materialidad económica con competencia UAI,No prueba selección efectiva de recompras,TARGET_PERIOD_DUTY
UD156_06,Contabilidad y presupuesto,Verificar principios contables y niveles presupuestarios,Habilita pedir pruebas del cierre y conciliaciones,"Cédulas contables, presupuestarias y conciliaciones",Competencia exacta del período,No equivale a pago bancario,TARGET_PERIOD_DUTY
UD156_07,Confiabilidad,Constatar confiabilidad de antecedentes usados en informes y estados,Debían conservarse fuentes y pruebas de confiabilidad,"Índice de fuentes, pruebas y excepciones",Sostiene pedido de evidencia subyacente,No valida cada fila target,TARGET_PERIOD_DUTY
UD156_08,Patrimonio,Verificar exactitud del registro de activos y medidas de resguardo,Permite rastrear controles patrimoniales,"Cédulas, inventarios y salvaguardas",Define deber de comprobación,No demuestra saldo ni titular final,TARGET_PERIOD_DUTY
UD156_09,Opinión,Emitir opinión sobre estados contables de unidades ejecutoras,Debía existir una opinión cuando la unidad estaba alcanzada,"Informe de opinión, anexos y salvedades",Identifica salida formal posible,No confundir con certificado SAF355,TARGET_PERIOD_DUTY
UD156_10,Informes,Producir informes periódicos de auditoría y control,Debía existir registro de productos emitidos,"Libro de informes, número, fecha, destino y cuerpo",Permite exigir inventario completo,No prueba tratamiento de las operaciones target,TARGET_PERIOD_DUTY
UD156_11,Desvíos,Comunicar a autoridades y SIGEN desvíos detectados,Debían dejar rastro las comunicaciones,"Notas, distribución, acuses y entrada SISIO","Conecta UAI, autoridad y SIGEN",No prueba recepción o regularización específica,TARGET_PERIOD_DUTY
UD156_12,Seguimiento,Efectuar seguimiento de recomendaciones y observaciones,Debían existir estados e historial correctivo,"Seguimientos, actualizaciones y cierre",Fundamenta pedir historia completa,Regularizada no significa pagada,TARGET_PERIOD_DUTY
UD156_13,Requerimientos SIGEN,Informar asuntos requeridos por SIGEN,Alcanza instrucciones específicas de supervisión,"Requerimiento, respuesta, anexos y acuse",Define deber de respuesta,No prueba requerimiento target,TARGET_PERIOD_DUTY
UD156_14,Vigencia temporal,Decreto 1359/2004 antecede al cierre y fue reemplazado en julio de 2010,Es autoridad exacta del período,"Texto vigente, modificaciones y sucesor",Cierra quiebre temporal de V155,No reconstruye organigrama informal,TEMPORAL_CONTROL
UD156_15,Plan y SISIO,El deber de plan se combina con Resolución SIGEN 15/2006,El cronograma era constancia de carga y aprobación,"Cronograma SISIO, alta, versión y aprobación",Convierte deber en objetos verificables,No aporta la constancia target,REQUEST_DERIVATION
UD156_16,Informes y papeles,"Los deberes 7, 9 y 10 exigen fuentes, opinión e informes","La búsqueda debe cubrir cuerpo, anexos e índice","Informe, papeles, soportes, firmas y disposición",Evita respuestas reducidas a metadatos,No presume publicidad irrestricta,REQUEST_DERIVATION
UD156_17,Desvíos y seguimiento,Los deberes 11 y 12 se conectan con SISIO,"Debe recuperarse alta, cambios e instrumento regularizador","Entrada SISIO, historial y vínculos",Define cadena auditable,El asiento no sustituye cuerpos,REQUEST_DERIVATION
UD156_18,Límite final,Competencia normativa no equivale a actuación concreta,"Mantener 0/10 hasta documento, sistema, banco y reversas",Resultado target individual,Impide promoción por deber abstracto,No usar como prueba de ejecución,METHOD_LIMIT
