row_id,date_or_period,event,legal_source,effect_on_target,record_to_recover,allowed_inference,forbidden_inference,status
RG158_01,antes del 30/10/2008,Presentación inicial esperada,Resolución SIGEN 7/2003,Plan bajo configuración previa del Ministerio de Economía y Producción,Carátula y versión inicial,El plan pudo nacer con denominación pre-reforma,No prueba presentación efectiva,VERSION_RISK
RG158_02,25/11/2008,Creación Ministerio de Producción,DNU 2025/2008,Divide la jurisdicción durante el circuito de aprobación,Expediente de adecuación del plan,Obliga a buscar versiones antes y después,No transfiere por sí solo todo proyecto,EXACT_REORGANIZATION_DATE
RG158_03,25/11/2008,Redefinición de Economía,DNU 2025/2008,Pasa a Ministerio de Economía y Finanzas Públicas,Carátula y nomenclador posteriores,El nombre jurisdiccional pudo cambiar,No prueba cambio material de todos los proyectos,VERSION_RISK
RG158_04,25/11/2008,Deuda pública,DNU 2025/2008,La competencia sustantiva permanece en Economía,Subplan y proyecto bajo Economía,Refuerza búsqueda en Economía,Competencia no custodia documental,SUBSTANTIVE_SCOPE
RG158_05,25/11/2008,Crédito y finanzas,DNU 2025/2008,Funciones financieras permanecen en Economía,Pautas y proyectos de Finanzas,Evita derivación automática a Producción,No localiza el cuerpo,SUBSTANTIVE_SCOPE
RG158_06,25/11/2008,Entidades financieras oficiales/BCRA,DNU 2025/2008,Vinculación institucional permanece en Economía,"Proyecto, alcance y responsables",Mantiene relevancia del circuito Economía,No acredita datos bancarios,SUBSTANTIVE_SCOPE
RG158_07,04/12/2008,Control UAI transitorio,Decreto 2102/2008 art. 11,UAI Economía controla transitoriamente actividades transferidas en las que ya intervenía,"Asignaciones, comunicaciones y papeles de transición",La UAI pudo conservar intervención operativa,No prueba transferencia del proyecto de deuda,TRANSITIONAL_RULE
RG158_08,04/12/2008,Estructura transitoria,Decreto 2102/2008 arts. 14-15,Mantiene aperturas inferiores y créditos de origen,"Planillas de estructura, responsables y presupuesto",Puede explicar carátulas y firmas heredadas,No prueba identidad entre versiones,TRANSITIONAL_RULE
RG158_09,25/11 a 04/12/2008,Ventana de reforma,Cruce normativo,Reforma ocurre tras plazo inicial y antes del 15/12,"Versiones, notas de modificación y crosswalk",Es plausible una reformulación formal,Plausibilidad no evidencia de cambio,VERSION_RISK
RG158_10,09/12/2008,Comparador ORSNA,Acta ORSNA 16/2008,Muestra que a esa fecha seguían aprobándose preliminarmente planes 2009,Notas equivalentes de Economía,Confirma circuito activo durante la ventana,No individualiza Economía,COMPARATOR_ONLY
RG158_11,15/12/2008,Aprobación final reportada,Memoria SIGEN 2008,Plan consolidado final ya bajo nueva organización,Acto y anexos definitivos,La versión final debe poder fecharse,No se conoce su nomenclatura interna,TARGET_VERSION_OPEN
RG158_12,2009,Ejecución del plan,Memoria/plan anual,Proyectos pueden conservar códigos o áreas de origen,"Altas, modificaciones y responsables SISIO",Buscar ambas denominaciones institucionales,No asumir continuidad perfecta,SEARCH_RULE
RG158_13,2008-2009,Cadena de firmas,Regla de aprobación,"Cambian autoridades, membretes o dependencias durante el trámite",Firmantes y sellos de cada versión,Los metadatos pueden resolver la sucesión,No inferir autoría por título abreviado,SEARCH_RULE
RG158_14,2008-2009,Cadena de custodia,Resolución 7/2003 + reforma,"Pueden coexistir copias en UAI, SIGEN, Mesa y áreas sucesoras",Inventario por custodio y versión,Amplía rutas sin duplicar objeto,Una copia no descarta otras,CUSTODY_RULE
RG158_15,2008-2009,Crosswalk organizacional,Método V162,"Relacionar denominación pre-reforma, post-reforma, función y sistema",Tabla unidad-fecha-proyecto-id,Evita falsos negativos por nombre,No reemplaza cuerpo documental,REQUEST_TARGET
RG158_16,Regla final,No traslado automático,Método V162,"La reforma explica riesgo de versión, no prueba desplazamiento del target","Exigir acto, registro o metadatos",Mantiene deuda/finanzas en Economía,No atribuir a Producción sin evidencia,METHOD_LIMIT
