id,priority,super_tab,title,current_tabs,baseline_status,decision_gate
1,P0,Hogares,"Hogares bajo presión","tab-structure;tab-morosidad",strong_partial,"Microdato EPH resuelve categorías V13-V17; falta suficiencia presupuestaria y panel longitudinal"
2,P0,Hogares,"Runway de la clase media","tab-family;tab-housing;tab-rates",scenario_ready,"Supuestos explícitos de ingreso canasta alquiler CFTEA y ahorro inicial"
3,P0,Quien_paga,"Balances sectoriales","tab-fiscal;tab-pendulo;tab-trade",partial,"Cuentas por sector institucional compatibles y misma ventana temporal"
4,P0,Quien_paga,"Incidencia del ajuste","tab-milei-cost;tab-pendulo;tab-power",partial,"No sumar incidencias solapadas ni convertir simultaneidad en causalidad"
5,P0,Hogares,"Pobreza baja fragilidad alta","tab-poverty;tab-structure;tab-morosidad",partial,"Panel longitudinal o proxy explícito para transiciones entre estados"
6,P0,Dolares,"Reservas brutas netas liquidas y propias","tab-bcra",strong_partial,"Definición y puente SDDS cerrados; falta una cifra oficial sincronizada de netas propias"
7,P0,Dolares,"Anatomía de la acumulación de reservas","tab-bcra",partial,"Puente mensual que cierre compras pagos depósitos valuación y financiamiento"
8,P0,Dolares,"Uso y cartera de los dólares comprados","tab-bcra",gap,"Desagregación pública suficiente de cartera duración liquidez y riesgo"
9,P0,Dolares,"Dólar base monetaria e inflación","tab-rates;tab-bcra;tab-pres",partial,"Régimen rezagos y método exploratorio declarados; no interpretar correlación como causalidad"
10,P0,Dolares,"Tipo de cambio real y atraso","tab-bigmac;tab-trade;tab-bcra",partial,"Semáforo multiseñal sin dólar de equilibrio único"
11,P0,Dolares,"Sector externo completo","tab-trade;tab-tourism;tab-bcra",partial,"Puente de balanza de pagos con bienes servicios rentas transferencias y cuenta financiera"
12,P0,Hogares,"Endeudados versus problemas de pago","tab-morosidad;tab-youth-credit",strong_partial,"Bases y unidades compatibles para personas hogares saldos y mora"
13,P0,Hogares,"Deuda de subsistencia","tab-credit-mora;tab-mora-causal;tab-rates",partial,"Destino del crédito o señales operativas sin etiquetar todo consumo como subsistencia"
14,P0,Hogares,"Inclusión financiera o monetización de exclusión","tab-youth-credit;tab-morosidad;tab-rates",partial,"Seguimiento de acceso costo e incumplimiento a 3 6 y 12 meses"
15,P0,Quien_paga,"Costo al hogar versus ganancia bancaria","tab-pendulo;tab-rates;tab-morosidad",strong_partial,"Mantener separados costo margen rentabilidad solvencia y transferencia identificada"
16,P0,Quien_paga,"Hipotecarios financiados con FGS","tab-housing",gap,"Contrato de fondeo spread costos y asignación de riesgo verificables"
17,P1,Desarrollo,"RIGI anunciado versus empleo real","tab-investment;tab-work",partial,"Estado de cada proyecto y empleo temporal permanente e indirecto sin mezclar horizontes"
18,P1,Desarrollo,"Capital intensivo versus trabajo intensivo","tab-investment;tab-work;tab-emae",partial,"Inversión productividad empleo y masa salarial comparables por sector"
19,P1,Desarrollo,"El capital llega más rápido que el trabajo","tab-investment;tab-work;tab-pendulo",partial,"Elasticidad empleo inversión con rezagos y universos homogéneos"
20,P1,Quien_paga,"Ingresos Brutos y neutralidad fiscal","tab-program",scenario_ready,"Elasticidades como escenarios y no como Laffer observada"
21,P1,Quien_paga,"Federalismo y reasignación de funciones","tab-fiscal;tab-health-education",gap,"Costo función fuente de ingreso y saldo por nivel de gobierno"
22,P1,Quien_paga,"PyMEs anticipos y liquidez","tab-meli-benefits;tab-casta",partial,"Distinguir presión legal caja inmovilizada y sentencia de fondo"
23,P1,Desarrollo,"Superávit con depreciación de capital público","tab-fiscal;tab-roads;tab-health-education",strong_partial,"Hay stock y amortización contable de Administración Central; falta inventario físico de gobierno general"
24,P1,Quien_paga,"Liquidez pública versus prestación","tab-health-education;tab-fiscal",gap,"Caja mínima compromisos próximos inversiones y gasto pendiente del mismo organismo"
25,P1,Desarrollo,"Salud y educación de gasto a resultado","tab-health-education",partial,"Capacidad física personal ejecución y outcomes con rezagos explícitos"
26,P1,Hogares,"Planes sociales comparables","tab-social",strong_partial,"Beneficiarios únicos prestaciones hogares y gasto real no intercambiables"
27,P1,Hogares,"Transferencias y reducción efectiva de pobreza","tab-social;tab-poverty",partial,"Microsimulación reproducible sobre ingreso observado"
28,P1,Hogares,"IPC promedio versus inflación por hogar","tab-family;tab-consumption;tab-housing;tab-health-education",scenario_ready,"Ponderaciones de canasta por perfil con fuente y fecha"
29,P1,Hogares,"Esenciales versus IPC general y núcleo","tab-consumption;tab-rates",partial,"Definición estable de esenciales y ponderaciones por decil"
30,P1,Dolares,"Auditor de definiciones de deuda","tab-debt-public;tab-debt-spiral",strong_partial,"Mostrar universos y neteos simultáneamente"
31,P1,Dolares,"Nueva deuda versus reducción de stock","tab-debt-public;tab-debt-spiral",partial,"Puente stock flujo valuación tipo de cambio y activos"
32,P1,Dolares,"Muro de vencimientos 2027 a 2031","tab-debt-public;tab-program",strong_partial,"Capital e intereses cerrados para Administración Central; falta consolidación y escenarios de rollover"
33,P1,Dolares,"Apoyo externo y generación propia","tab-bcra;tab-debt-public;tab-program",partial,"Timeline de desembolsos swaps compras pagos y condicionalidad"
34,P2,Auditor_relato,"Laboratorio de shocks argentinos","tab-rates;tab-pres;tab-power;tab-bcra;tab-emae",partial,"Ventanas espejo y quiebres metodológicos por episodio"
35,P2,Auditor_relato,"Comparación 2018 versus 2026","tab-story;tab-power;tab-work;tab-poverty;tab-bcra;tab-debt-public",partial,"Comparar macro y bienestar con igual fecha de corte"
36,P2,Auditor_relato,"Shock versus gradualismo","tab-program;tab-milei-cost",scenario_ready,"Contrafactuales rotulados y sensibilidad de supuestos"
37,P2,Auditor_relato,"Auditor de logros de gobierno","tab-story;tab-casta;tab-milei-cost",partial,"Input output y outcome con indicador antes después y confianza causal"
38,P2,Auditor_relato,"Quién controla los números","tab-casta",partial,"Mandato facultades cambios normativos y producción medible"
39,P2,Auditor_relato,"Campaña financiamiento y rendición","tab-casta",out_of_core,"Módulo institucional separado y estado procesal preciso"
40,P2,Desarrollo,"RIGI tecnológico IA y soberanía económica","tab-investment",gap,"Inversión energía agua empleo importaciones exportaciones exenciones y propiedad de activos"
