priority,entity,missing_artifact,why,status
1,Banco Mariva S.A.,Attachment JSON/blob GUIDs + exact observed download request + original individual binaries for #3122483/#3165651,V105 revalidates both official targets and live-indexes 9M; source-promotion work moved ahead in V106 but the CNV contract remains unobserved.,OFFICIAL_TARGETS_REVALIDATED_BLOB_GUID_NOT_RECOVERED
2,HSBC Bank Argentina S.A.,Attachment JSON/blob GUIDs + exact observed download request + original individual binaries for #3121099/#3163537,V105 revalidates both official individual targets; original attachment bytes remain missing.,OFFICIAL_TARGETS_REVALIDATED_BLOB_GUID_NOT_RECOVERED
3,Banco BMA / ex Banco Itau Argentina S.A.,Attachment JSON/blob GUIDs + exact observed download request + original individual binaries for #3119515 and ordinary FY #3171909,V105 revalidates the targets and independently distinguishes later #3177414; never substitute it.,OFFICIAL_TARGETS_REVALIDATED_3171909_REQUIRED_BLOB_GUID_NOT_RECOVERED
4,Banco de la Nacion Argentina,Separated 30/09/2023 interest opening or explicit 521007 presentation mapping,Resolve Sep 521007 without backward inference.,OPEN
5,Banco Santander Argentina SA,Explicit 30/09/2023 BCRA-vs-otherFI accumulated-flow split below separated pass-income total,Closing-stock counterparty cannot substitute for YTD flow split.,OPEN
6,Banco de Corrientes S.A.,Official FY2023 binary documentid=1193 then compatible Sep bridge,Exact endpoint identified; binary still not recovered.,HOLD_EXACT_BINARY_ENDPOINT_READY_FOR_MANUAL_RESCUE
7,Banco de Santiago del Estero S.A.,Official FY2023 issuer Annex Q/counterparty opening plus compatible Sep bridge,Raw 511108 alone cannot establish counterparty.,HOLD_ISSUER_CROSSWALK_NOT_RECOVERED
8,Banco CMF S.A.,Explicit same-year pass-result BCRA-vs-otherFI flow opening,Source bodies exact; closing stock cannot substitute for flow split.,HOLD_SOURCE_BODY_RECOVERED_FLOW_SPLIT_MISSING
9,Banco del Chubut S.A.,Official FY/9M 2023 Annex Q counterparty opening,Raw candidate exists but no issuer-specific split.,HOLD_ISSUER_CROSSWALK_NOT_RECOVERED
10,Banco Rioja S.A.U.,Compatible 9M issuer opening plus explanation of FY 158,789k issuer/raw income mismatch; preserve FY PDF,FY Annex Q is BCRA-only but 511108 does not reconcile income; useful falsifier and not promotable.
11,SLU 2008 backup,"Inventario, soporte y restauración",recupera tablas sin historia,OPEN_LEGAL_DUTY_PROVED
12,SICHE SLU,Inventario y export 2008,vía legal vigente,OPEN_NOT_EXECUTED
