query_id,query,result,artifact,limit
PS178_01,Notas 04854651SSFP#MP/2017 y 7813292/SSFP#MP/2017 + variantes GDE,sin cuerpos públicos localizados,compilación SIGEN 2017 ya preservada,negativo acotado
PS178_02,BID 1192 + Cuenta 2020/2021 + no se presentó información,sin seguimiento posterior indexado,Cuenta 2019 ya preservada,índice web incompleto
PS178_03,Cuenta de Inversión 2011-2016 /archivos/sep.pdf,seis PDF oficiales accesibles por ruta histórica y redirección mecon,seis PDF preservados,2017+ usa otra estructura
PS178_04,MP0191 + 466/1796/08 + 88/14,detalles sólo en Cuentas 2011-2013,cadena MP0191,notas no recuperadas
PS178_05,Resolución 967/2006 + fideicomiso MyPEs II,norma oficial; anexo de 74 hojas expresamente no publicado,HTML preservado,contrato ejecutado pendiente
PS178_06,Resolución 148/2005 + SUD + Credicoop + Macro,addenda oficial con partes del fideicomiso,HTML preservado,addenda no reemplaza contrato
PS178_07,Decreto 1273/2012 + FONDYF,"creación, recursos y afectación probados",HTML preservado,no concilia cuentas
PS178_08,Resolución 206/2012 + convenio colaboración,modelo público; firma 28/12/2012 citada por Res. 4/2016,HTML preservado,ejemplar firmado pendiente
PS178_09,Resolución 48/2013 + convenio administración BNA,13 cláusulas públicas y responsabilidades precisas,HTML preservado,ejecución/reportes pendientes
PS178_10,Acta 398/2014 + FONDYF,sólo cita y resumen en Res. 4/2016; colisiones irrelevantes,límite público documentado,acta pendiente
PS178_11,Decreto 400/2019 + FONDYF,reforma operativa y transparencia probadas,HTML preservado,no prueba decisión de reunión 29/08/2019
