recovery_id,problem,required_record,minimum_fields,success_test,negative_rule,source_id,status
HR144_01,tabla vigente declarada sin historia,dump o snapshot de base correspondiente al ejercicio 2008,tabla;esquema;fecha snapshot;fila completa;estado,snapshot anterior o contemporáneo con cobertura declarada,consulta actual vacía no prueba inexistencia histórica,E0_SLU_BASE_TABLE_DICTIONARY_V146.csv,DRAFT_NOT_SENT
HR144_02,bajas lógicas posibles,resultado de Consulta de Bajas por tabla,clave;descripción;fecha baja;usuario;estado,incluye filas inactivas y fecha,filtrar sólo activas es insuficiente,e0_dgsiaf_slu_treasury_basic_tables_1;e0_dgsiaf_slu_bank_reconciliation_basic_tables_2002_v7,DRAFT_NOT_SENT
HR144_03,rehabilitación puede ocultar secuencia,registro de rehabilitaciones y estado previo,clave;fecha baja;fecha rehabilitación;usuario;motivo,secuencia temporal reproducible,estado activo actual no acredita continuidad,e0_dgsiaf_slu_treasury_basic_tables_1,DRAFT_NOT_SENT
HR144_04,códigos usados no se eliminan,filas asociadas y registros que impidieron el borrado,código;tabla;cantidad asociados;claves de uso,vínculo a movimiento/libro/formulario,ausencia del activo no descarta una baja,e0_dgsiaf_slu_bank_reconciliation_basic_tables_2002_v7,DRAFT_NOT_SENT
HR144_05,valores históricos no preservados en aplicación,"backups RMAN, exportaciones Oracle, cintas o imágenes de servidor SLU",fecha;servidor;instancia;esquema;retención;custodio;hash,inventario y copia recuperable de 2008,declarar sin historia exige informar política de backups,E0_SLU_BASE_TABLE_DICTIONARY_V146.csv,DRAFT_NOT_SENT
HR144_06,cambio de versión SLU,matriz de versiones y scripts de migración v7→v9.0,versión;fecha;SAF;módulo;DDL/DML;tabla origen/destino,confirma versión y transformación de códigos,captura v9.0 no prueba identidad semántica de toda tabla,e0_dgsiaf_slu_reconciliation_workshop_2017_historical_screens,DRAFT_NOT_SENT
HR144_07,repositorio CUT histórico separado,"exportación SICHE 2007-2014 de Entidades, Extractos y Logs",dataset;versión;parámetros;cobertura;filas;diccionario,2008 completo con identificador de cuenta y referencia,cero sin parámetros ni cobertura no es utilizable,e0_dgsiaf_siche_cut_repository_2020_q2,DRAFT_NOT_SENT
HR144_08,tabla de mapeo no prueba transacción,conc_01.rep y conc_02.rep o exportación equivalente,cuenta;fecha;movimiento;formulario;importe;estado;beneficiario,ambos lados comparten referencia/fecha/importe,parametrización sola no eleva 0/10,e0_dgsiaf_slu_bank_reconciliation_reports_2002,DRAFT_NOT_SENT
HR144_09,movimientos corregidos,historial de correcciones de extracto,banco;sucursal;cuenta;fecha;grupo;mov externo;mov interno;comprobante;importe;signo;original;corrección,cadena original→corrección completa,última versión puede ocultar el movimiento inicial,e0_dgsiaf_slu_bank_reconciliation_manual_2003_v7,DRAFT_NOT_SENT
HR144_10,C55 automático puede tener rechazo/reversa,"formulario, transmisión, respuesta, error, C55-DEG/DEP/REP y contraasiento",original;estado;fechas;usuario;error;reversa;Libro Banco,C confirmado sin reversa posterior,enviado o rechazado no prueba ejecución,e0_dgsiaf_slu_payment_reversal_2005;e0_dgsiaf_slu_global_regularization_2004,DRAFT_NOT_SENT
HR144_11,rama crédito/recurso posible,"C10 automático/manual, boleta y movimiento de conciliación",generación A/M;REC/REG/COR/DES/CMP;cuenta;SIGADE;estado;transmisión,clasifica signo y origen antes de atribuir gasto,C10 de recurso no es C55 de comisión,e0_dgsiaf_slu_c10_2004_v10,DRAFT_NOT_SENT
HR144_12,resultado final requiere cadena multicapas,tabla→movimiento→formulario→extracto→Libro Banco→conciliación→respaldo,cuenta;fecha;signo;importe;referencia;concepto;estado;original/reversa,concordancia individual reproducible,ninguna capa aislada confirma fila objetivo,E0_SLU_AUTOMATIC_EXPENSE_MAPPING_CHAIN_V146.csv,DRAFT_NOT_SENT
HR145_13,retención perpetua sin inventario,planilla/catálogo 2006-2009,equipo;fecha;lote;soporte;ubicación,soporte SLU individualizado,deber no equivale a recuperación,E0_SLU_BACKUP_RETENTION_DUTY_V146.csv,DRAFT_NOT_SENT
HR145_14,migración sin expediente,"Acta, backup previo, scripts y control",versión;fecha;tabla;conteo;diferencia;firma,cadena reconstruida,manual de usuarios no basta,E0_SLU_MIGRATION_DOCUMENT_CHAIN_V146.csv,DRAFT_NOT_SENT
HR145_15,ruta actual no ejecutada,export SICHE e inventario,consulta;período;filtros;filas;hash,export reproducible,cero sin cobertura no prueba,E0_SICHE_SLU_LEGAL_CUSTODY_EXPORT_ROUTE_V146.csv,DRAFT_NOT_SENT
HR145_16,C55 no localizado,débito/diferencia/corrección/reversa,tipo;estado;origen;fecha;importe;cuenta,cruce con extracto,permiso no prueba formulario,E0_SLU_LOCAL_ADMIN_HISTORY_AND_C55_V146.csv,DRAFT_NOT_SENT
