episode,layer,metric,date,value_or_description,event_label,source,notes
2008,household,real_wage,2008_global,No contemporaneous deep wage drawdown under V31 benchmarks,NO_MAIN_ONSET,V42/V31,External falsifier: sequence cannot start the same way.
2008,bank,mora/provisions,2008_global,Not used for domestic lead-lag,N/D,V42/V31,Shock type differs; keep as falsifier.
2014,household,registered_real_wage,2014-01,t0 ≈ -4.97% vs 6m benchmark; trough ≈ -8.7% Mar,ONSET,V42,Household shock anchor.
2014,bank_credit,family_delinquency,2014-01,"2.6% family mora, historically low",BASELINE,BCRA Jan-2014,No material delinquency yet.
2014,bank_credit,family_delinquency,2014-02,2.7%; consumption lines explain monthly rise,FIRST_SUSTAINED_RISE,BCRA Feb-2014,~+1 month from household shock.
2014,bank_credit,family_delinquency,2014-04,3.0% family mora,MATERIAL_0.3PP,BCRA Apr-2014,~+3 months.
2014,bank_credit,family_delinquency,2014-07,3.2% family mora,MATERIAL_0.5PP,BCRA Jul-2014,~+6 months.
2014,bank_buffer,provision_coverage,2014-01,headline coverage 144%,BUFFER_ALREADY_HIGH,BCRA Jan-2014,Coverage does not need to rise to absorb initial deterioration.
2014,bank_buffer,provision_coverage,2014-05_to_07,headline coverage ≈138%,NO_UPWARD_PROVISION_RATIO_RESPONSE,BCRA May-Jul 2014,Coverage ratio falls as irregularity grows but stays >1x.
2014,bank_buffer,net_exposure_to_PN,2014-06,-2.9% PN vs -3.5% Dec-2013,BUFFER_USE_OBSERVED,V44,Exposure becomes less negative but remains far from saturation.
2014,bank_profit,ROA,2014-02_to_04,below selected V31 benchmarks,PROFIT_DRAWDOWN,V42,Profit drawdown overlaps early mora rise; does not wait for material mora.
2018,bank_credit,households_personal_cards,2018-01,3.016%,PRE_SHOCK_RISING_TREND,MOR_DATA dashboard,Mora already above late-2017 and rising months before May.
2018,bank_credit,households_personal_cards,2018-04,3.336%,T_MINUS_1,MOR_DATA dashboard,Pre-shock baseline for threshold sensitivity.
2018,household,registered_real_wage,2018-05,t0 ≈ -1.78% vs 6m benchmark; trough ≈ -16.4%,ONSET,V42,Household shock anchor.
2018,bank_credit,households_personal_cards,2018-07,3.748%,SUSTAINED_PLUS_0.3PP,MOR_DATA dashboard,"+2 months vs t0, but trend predates t0."
2018,bank_credit,households_personal_cards,2018-09,3.969%,SUSTAINED_PLUS_0.5PP,MOR_DATA dashboard,+4 months vs t0.
2018,bank_credit,households_personal_cards,2019-06,5.533%,LOCAL_PEAK,MOR_DATA dashboard,Peak in chosen 2018-19 window.
2018,bank_buffer,adjusted_provision_coverage,2018-04,~80%,PRE,V43/BCRA Apr-2018,Function-specific adjusted coverage.
2018,bank_buffer,adjusted_provision_coverage,2018-10,76%,LOW_BEFORE_RESPONSE,BCRA Oct-2018,Coverage ratio falls while mora rises.
2018,bank_buffer,adjusted_provision_coverage,2018-11,~88%,CLEAR_RESPONSE,BCRA Nov-2018 graph,Sharp provisioning response after late-year credit deterioration.
2018,bank_buffer,net_exposure_to_PN,2018-10,2.6% PN,STRESS_HIGHER,BCRA Oct-2018,Residual exposure rises but remains small.
2018,bank_buffer,net_exposure_to_PN,2018-11,~1.3% PN,BUFFER_RESPONSE,V44/BCRA Dec-2018 derivation,Provision response cuts exposure materially.
2018,bank_profit,ROA,2018-11,≈2.4%; below V31 benchmark,PROFIT_DRAWDOWN,V42,~+6 months from household t0; mora trend began before t0.
2023,household,registered_real_wage,2023-12,about -16% to -17% at t0; Jan-24 index ~84.47,ONSET,V42,Household shock anchor.
2023,bank_credit,households_personal_cards,2023-11,2.393%,T_MINUS_1,MOR_DATA dashboard,Pre-shock baseline.
2023,bank_buffer,adjusted_provision_coverage,2023-11,90.4%,PRE,V43/BCRA Nov-2023,Below 1x immediately pre-shock.
2023,bank_buffer,adjusted_provision_coverage,2023-12,113.2%,IMMEDIATE_RESPONSE,V43/BCRA Dec-2023,Provision coverage jumps before any persistent mora acceleration.
2023,bank_credit,households_personal_cards,2024-03,2.585%,SUSTAINED_PLUS_0.1PP,MOR_DATA dashboard,Small three-month rise; not a durable material acceleration.
2023,bank_profit,ROA,2024-Q3,"≈1.9%, below III-2023 benchmark",PROFIT_DRAWDOWN,V42,"About +9 months from t0, before material mora acceleration."
2023,bank_credit,households_personal_cards,2025-02,2.989%,SUSTAINED_PLUS_0.3_AND_0.5PP,MOR_DATA dashboard,Clear material acceleration ~+14 months after household shock.
2023,bank_credit,households_personal_cards,2026-05,14.520%,CENSORED_RISING_MAX,MOR_DATA dashboard,Series still rising at last observation; no peak identified.
