proposicion,estado,evidencia_a_favor,evidencia_en_contra_falsificador,alcance,gap_restante
H1.1 · hogares absorben primero el shock,MIXED,"2014, 2018 y dic-2023 muestran deterioro contemporáneo fuerte de ingreso/salario",2008 no muestra drawdown inmediato/profundo robusto,todas las crisis,taxonomía del shock
H1.1R · hogares absorben primero en shocks domésticos cambiarios/de ajuste,STRONG_SUPPORT,"2014, 2018 y 2023 muestran onset rápido del deterioro hogar; 2015 apoyo mixto",2023 luego tiene amortiguación social mucho más rápida,familia doméstica,más episodios independientes
H1.2 · cae ingreso real,STRONG_SUPPORT,"salarios/ingreso caen en 2014, 2018 y 2023-24",no es una propiedad de 2008 bajo todas las ventanas,shocks domésticos,definir outcome: registrado vs amplio
H1.3 · aumenta necesidad/uso de crédito inmediatamente,MIXED,expansión crediticia posterior y altas de nuevos deudores; mayor acceso PNFC,1S24: saldo por deudor todavía se contrae al inicio; expansión visible desde mar-abr/mayo,2023-25,micro de necesidad vs oferta
H1.4 · sube costo financiero real,MODERATE_SUPPORT,el costo real del crédito aparece alto/recurrente en varias ventanas; spreads/CFTEA documentados,no es una constante universal; CFT histórico tiene quiebres y falta dataset realizado 2013-16 completo,histórico,serie all-in homogénea
H1.5 · mora aparece con rezago,STRONG_SUPPORT,vintages IV23/I24 peores; deuda/servicio crece antes que mora; 2025-26 irregularidad hogares sube,NIIF9 permite reconocer pérdida esperada antes de mora; mora observada no es único reloj,2023-26 y mecanismo institucional,histórico homogéneo de cohortes
H1.6 · la macro mejora luego,MIXED,"2024: desinflación, actividad y empleo mejoran después del shock",demasiado amplia; no todos los episodios tienen misma dinámica/ventana,por episodio,definir macro outcome ex ante
H1.7 · hogares recuperan parcialmente,STRONG_SUPPORT,"2023-25: pobreza, ingreso amplio y consumo recuperan; 2014/18 muestran recuperación incompleta antes del censor",no existe una sola fecha de recovery del hogar,multidimensional,vector común por episodio
H1.8 · determinadas posiciones financieras recuperan antes,MIXED,2014/18: overshoot bancario y recovery más rápida que salario/pobreza/consumo,2023-25: banco luego entra en deterioro mientras varias métricas sociales ya recuperan; frecuencia contable cambia,general,serie bancaria maestra por régimen
H1.8R · recovery financiera antes en 2014/2018,MODERATE_SUPPORT,pilotos bancarios muestran overshoot → drawdown → recuperación en meses; hogares quedan censurados,n pequeño; 2014 fecha exacta recovery requiere serie mensual maestra completa,2014/2018,serie maestra BCRA
H1.9 · queda residuo acumulado del lado hogar,STRONG_SUPPORT,2014/18 residuo salario+pobreza+consumo; 2024-26 residuo financiero: servicio deuda/mora,2023-25 no deja residuo social homogéneo: pobreza/consumo sí recuperan,por dimensiones,microincidencia post-shock por ingreso
Patrón idéntico en todas las crisis,REJECTED,—,2008 es falsificador; COVID tiene quiebre contable y dinámica propia,universal,ninguno: hipótesis universal descartada
Regularidad en shocks domésticos cambiarios/de ajuste,MODERATE_SUPPORT,2014/18 fuertes; 2015 mixto; 2023 comparte onset/overshoot pero menor residuo social,pocos episodios y amortiguadores distintos,taxonomía restringida,más casos / identificación
RAI único hogar vs banco,REJECTED,—,hogar es vector multidimensional; banco puede no caer al t0; hay censura y regímenes de frecuencia,métrica principal,usar onset/overshoot/duración/área + RAI sólo cuando aplica
Buffers bancarios ex ante reglados y monitoreados,STRONG_SUPPORT,"capital, liquidez, previsiones, límites y stress/supervisión; jun-2026 exceso capital 269%, previsiones 86,6% cartera irregular",no son caja libre ni garantizan ganancias,arquitectura institucional,"comparación funcional, no monetaria"
Buffers del hogar heterogéneos y condicionados,STRONG_SUPPORT,"ahorro propio, desempleo, transferencias, indemnización, límites de embargo, insolvencia judicial y crédito",algunos buffers mejoraron mucho desde 2023,arquitectura institucional,cobertura efectiva por shock
Red social 2023-25 más potente en dimensiones observables,STRONG_SUPPORT,"seguro desempleo: ~9-11% SMVM 2014, ~37% 2018, techo 100% SMVM desde 2023; AUH/Alimentar gana intensidad 2024",no hay ratio alimentario perfectamente empalmable con 2014/18,comparación seleccionada,flujo realizado histórico comparable
Red social neutralizó el shock desde t0,REJECTED,AUH/Alimentar se refuerzan ene-feb24,"pobreza igualmente sube 41,7→52,9% en 1S24; flujo secundario sugiere protección heterogénea inicialmente",2024,micro V29 para composición
Crédito fue el buffer inicial principal de 2024,WEAK_SUPPORT,consumo cae menos que ingreso,crédito promedio/deudor se contrae primero y recién revierte mar-abr/mayo; uso de ahorros salta antes,2024,micro consumo/financiamiento
Crédito funcionó como puente/acelerador de segunda fase,MODERATE_SUPPORT,expansión desde Q2/mayo coincide con recovery; crédito y deudores crecen,no identifica causalidad sobre consumo,2024-25,identificación causal
Crédito deja residuo financiero posterior,STRONG_SUPPORT,"servicio deuda 18,7% masa salarial formal mar25; mora hogares 12,8% jun26; PNFC deterioro alto",stock agregado de ahorro también se recompone; no todos los hogares afectados igual,2024-26,micro por ingreso/proveedor
Más crédito por sí solo causa peor mora,REJECTED,—,cohortes II/III24 mejoran pese a mayor expansión; IV23/I24 peores con saldos iniciales menores,2023-24,modelos de originación/ingreso
Transferencia directa de riqueza hogar → banco,N/D,costo financiero hogar e ingresos/rentabilidad bancaria pueden coexistir,"no hay contabilidad que identifique una transferencia uno-a-uno; costos, fondeo, mora, impuestos y valuación intermedian",causal/contable,micro/contabilidad causal
Intención o coordinación deliberada para producir el reparto,N/D,hay medidas con incidencia distributiva explícita/conocida,no apareció evidencia documental directa de diseño coordinado con ese objetivo; patrón estadístico no basta,nivel 3,"documentos, minutas, comunicaciones, declaraciones explícitas"
