chain_id,stage,system,official_fact_or_target,controlled_use,source_id,status
CH146_01,public_debt_registry,SIGADE,Operaciones de deuda pública,SIGADE es sistema de gestión/registro de deuda; no es por sí solo liquidación bancaria,e0_argentina_sidif_link_historical_integration,PROVED_ARCHITECTURE_TARGET_ROW_NOT_LOCATED
CH146_02,debt_events,SIGADE,Desembolsos; amortización; intereses; comisiones,Familias transmitidas a presupuesto/contabilidad,e0_argentina_sidif_link_historical_integration,PROVED_ARCHITECTURE_TARGET_ROW_NOT_LOCATED
CH146_03,interface,SIDIF-Link,Enlace sistemático y en tiempo real,Ruta contemporánea fuerte para 2008,e0_argentina_sidif_link_historical_integration,PROVED_ARCHITECTURE_TARGET_ROW_NOT_LOCATED
CH146_04,accounting_counterpart,SIDIF Central,Contrapartida presupuestaria y contable,Asiento no acredita débito bancario,e0_argentina_sidif_link_historical_integration,PROVED_ARCHITECTURE_TARGET_ROW_NOT_LOCATED
CH146_05,audited_chain,SIGADE→SIDIF-Link→SIDIF Central,Diagrama UAI 2019,Confirma arquitectura subsistente antes del reemplazo,e0_mecon_uai_plan_2019_sigade_sidif_link,PROVED_ARCHITECTURE_TARGET_ROW_NOT_LOCATED
CH146_06,payment_execution,e-SIDIF,La ejecución de pagos alimenta e-SIDIF,Tramo posterior; no retroproyectar a 2008,e0_mecon_uai_plan_2019_sigade_sidif_link,PROVED_ARCHITECTURE_TARGET_ROW_NOT_LOCATED
CH146_07,target_owner,SAF 355,Servicio Administrativo Financiero de deuda,Pedir submayor y vínculo SIGADE/SIDIF,e0_mecon_uai_plan_2019_sigade_sidif_link,PROVED_ARCHITECTURE_TARGET_ROW_NOT_LOCATED
CH146_08,replacement,e-SIDIF/SEPP,Inicio 2020-11-16,Reemplazó gestión antes realizada en SIDIF Link,e0_dgsiaf_siche_deployment_2020_q4,PROVED_ARCHITECTURE_TARGET_ROW_NOT_LOCATED
CH146_09,contingency,SIDIF-Link,Continuidad temporal por contingencia,Evita asumir apagado instantáneo,e0_dgsiaf_siche_deployment_2020_q4,PROVED_ARCHITECTURE_TARGET_ROW_NOT_LOCATED
CH146_10,historical_access,SICHE SIDIF Central,Consultas sobre sistema discontinuado,Ruta de recuperación actual,e0_argentina_resolution_53_2024_siche,PROVED_ARCHITECTURE_TARGET_ROW_NOT_LOCATED
CH146_11,bank_layer,CUT-SIDIF Central,Extractos y conciliación bancaria,Necesario para separar asiento de pago,e0_dgsiaf_siche_cut_repository_2020_q2;e0_dgsiaf_siche_deployment_2020_q4,PROVED_ARCHITECTURE_TARGET_ROW_NOT_LOCATED
CH146_12,secondary_route,SLU,Ruta sólo condicional,No usar como primaria sin prueba de implantación SAF 355/módulo objetivo,e0_dgsiaf_slu_landing,PROVED_ARCHITECTURE_TARGET_ROW_NOT_LOCATED
