gap_id,pregunta,estado_previo,estado_nuevo,resultado_cuantitativo,limite_remanente,fuente_principal
H1,"Clasificación mutuamente excluyente de estrategias de manutención",abierta,cerrada_perimetro_EPH,"2026-Q1: ninguna 28.222%; solo ahorro 9.190%; solo prestamos 3.542%; solo cuotas/fiado 21.510%; solo venta 0.937%; combinacion 36.599%","Sólo cubre variables V13-V17 y hogares de aglomerados EPH",INDEC EPH microdatos
H2,"Hogares que viven sólo de ingreso corriente",abierta,proxy_mejorado,"25.811% en 2025-S1; 24.534% en 2026-Q1","No observa suficiencia del presupuesto ni atrasos",INDEC EPH microdatos
H3,"Transiciones pobreza-vulnerabilidad-mora del mismo hogar",abierta,abierta_sin_panel,"N/D","No existe enlace longitudinal público EPH-CENDEU",INDEC EPH y BCRA CENDEU
B1,"Reservas netas líquidas propias",abierta,parcial_metodologico,"Activos oficiales USD 47599.19 M; residual de estrés a un año USD 5819.75 M","Residual no es reservas netas; falta porción yuan del swap y sincronización completa",BCRA SDDS e IPOM
B2,"Cartera duración activos gravados BCRA",abierta,parcial,"Activos dados en garantía informados: USD 0 M; repos incluidos en reservas: USD 145 M","No hay cartera completa por instrumento duración y liquidez",BCRA SDDS 2026-07-31
D1,"Muro de deuda 2027-2031",parcial,cerrada_administracion_central,"Servicios USD 243187.688 M; capital USD 199808.440 M; intereses USD 43379.248 M","No consolida BCRA provincias municipios ni empresas públicas",Secretaría de Finanzas A.3.6 2026-Q1
S1,"Cuenta corriente posterior a 2026-Q1",abierta,abierta_por_calendario,"Último dato: -USD 1651 M en 2026-Q1","INDEC no publicó Q2 al 2026-08-31",INDEC balanza de pagos
S2,"Cuentas institucionales hogares y sociedades no financieras",abierta,abierta_ausencia_confirmada,"Series publicadas: gobierno general; sociedades financieras parciales; resto del mundo","Faltan hogares y sociedades no financieras",INDEC sectores institucionales
R1,"Empleo RIGI ejecutado temporal/permanente y proveedores locales",abierta,abierta_ausencia_confirmada,"22 proyectos; USD 47073 M; 95950 empleos proyectados; 0 con desglose temporal/permanente","Proyección no equivale a empleo realizado",Portal RIGI y resoluciones
R2,"Cronograma anual RIGI",abierta,cerrada_como_inversion,"USD 26966 M programados para 2026-2031","Es inversión en USD M; no es empleo",Portal RIGI raw-data-json
C1,"Inventario y depreciación del capital público",abierta,parcial_contable,"Administración Central 2024: bruto ARS 920447 M; amortización acumulada ARS 238784 M; residual ARS 681662 M","No cubre gobierno general ni condición física",Cuenta de Inversión 2024 Anexo A
