episode,window,accounting_component,abnormal_gap_pp,role_in_abnormal_gap,direct_contractual_counterparty,primary_counterparty_label,secondary_labels,direct_flow_identity,economic_funder_or_incidence,household_link,fiscal_or_BCRA_link,confidence,source_basis,caveat
2014,FY2014_vs_FY2013,securities_result,1.4,POSITIVE_DOMINANT,Issuer/counterparty varies by instrument; exact portfolio split not frozen,MIXED,BCRA_COUNTERPARTY|TREASURY_COUNTERPARTY|MARKET_VALUATION,Coupon/devengement can be issuer→bank; price appreciation is not a contemporaneous issuer payment,LEBAC/NOBAC are BCRA liabilities; Treasury securities are Treasury liabilities; secondary-market gains are valuation effects,INDIRECT_HOUSEHOLD_EXPOSURE,BCRA link supported for LEBAC/NOBAC mechanism; Treasury share N/D,MEDIUM_HIGH,V50/V51; BCRA_BANK_JUN2014; BCRA_MONETARY_JAN2014; BCRA_ANNUAL_2014,The +1.4pp securities gap cannot be split into BCRA/Treasury/market shares with current frozen evidence.
2014,FY2014_vs_FY2013,CER_CVS,0.1,POSITIVE_SMALL,Depends on indexed asset/liability,MIXED,TREASURY_COUNTERPARTY|DIRECT_HOUSEHOLD_CONTRACT|CORPORATE_COUNTERPARTY|DEPOSITOR_COUNTERPARTY,"Indexation is contractual, but the aggregate result is the net of heterogeneous indexed positions","Could arise from CER public bonds, indexed loans, deposits or other indexed contracts",INDIRECT_HOUSEHOLD_EXPOSURE,Fiscal link only for identified Treasury CER instruments,MEDIUM,V50/V51,Aggregate CER result does not identify which indexed contracts generated the gap.
2014,FY2014_vs_FY2013,fx_differences,-0.1,NEGATIVE_SMALL,Underlying FX debtors/depositors/market positions not split,MARKET_VALUATION,MIXED|DEPOSITOR_COUNTERPARTY|CORPORATE_COUNTERPARTY,Revaluation of a net FX position is not itself a cash transfer from a household,Economic incidence sits on holders of the underlying assets/liabilities and the bank own position; no one-to-one payer,N/D,No direct fiscal identity,HIGH,V50/V51; BCRA_MONETARY_FEB2014,"January overshoot was FX, but annual abnormal FX gap is slightly negative."
2014,FY2014_vs_FY2013,credit_loss_charges,0.1,POSITIVE_SMALL_LESS_COST,Underlying borrowers; sector mix not frozen,MIXED,DIRECT_HOUSEHOLD_CONTRACT|CORPORATE_COUNTERPARTY,"Provision/credit-loss charge is a bank accounting cost tied to borrower risk, not a payment received from the delinquent borrower",Lower loss charge benefits bank results by reducing a cost; it does not establish a household→bank flow,INDIRECT_HOUSEHOLD_EXPOSURE,No direct fiscal link,HIGH,V50/V51,Household share of the credit portfolio is not isolated in this abnormal-gap row.
2014,FY2014_vs_FY2013,income_tax,-0.4,NEGATIVE,Tax authority,TREASURY_COUNTERPARTY,MIXED,Bank→tax authority tax payment/accrual,Fiscal authority receives tax; this is an offset to bank profit,NO_HOUSEHOLD_LINK,Direct fiscal counterparty for national income tax,HIGH,V50,Negative component; not part of bank benefit.
2018,H1_2018_vs_H1_2017,securities_result,,POSITIVE_DIRECTIONAL,Issuer and market vary by security,MIXED,BCRA_COUNTERPARTY|TREASURY_COUNTERPARTY|MARKET_VALUATION,Coupon/devengement may be issuer→bank; mark-to-market has no contemporaneous issuer payment,2018 portfolio included BCRA instruments and Treasury securities; exact abnormal share by issuer N/D,INDIRECT_HOUSEHOLD_EXPOSURE,"BCRA and Treasury links both plausible/supported institutionally, magnitude N/D",MEDIUM_HIGH,V50/V51; BCRA_BANK_MAY2018; BCRA_BANK_JUN2018,No exact H1 subcomponent gap frozen.
2018,H1_2018_vs_H1_2017,CER_income,,POSITIVE_DIRECTIONAL,Indexed debtors/issuers,MIXED,TREASURY_COUNTERPARTY|DIRECT_HOUSEHOLD_CONTRACT|CORPORATE_COUNTERPARTY,Contractual indexation on assets,Depends on composition of CER/UVA assets; household share not isolated,INDIRECT_HOUSEHOLD_EXPOSURE,Fiscal only for Treasury-indexed instruments,MEDIUM,V50/V51,Gross CER income is not net CER result and counterparty mix is unresolved.
2018,H1_2018_vs_H1_2017,interest_income,,POSITIVE_DIRECTIONAL,Borrowers across household/corporate/public sectors,MIXED,DIRECT_HOUSEHOLD_CONTRACT|CORPORATE_COUNTERPARTY|TREASURY_COUNTERPARTY,For identified household loans/cards: household→bank interest is a direct contractual flow,"Aggregate interest income mixes sectors, so the household contribution to the abnormal gap is N/D",DIRECT_HOUSEHOLD_CONTRACT_PARTIAL_UNQUANTIFIED,Possible Treasury link for public-sector borrowers/instruments,MEDIUM_HIGH,V50/V51,"This is the first component family where a direct household contract can exist, but V52 cannot quantify its share."
2018,MAY_2018,fx_differences_ORI,,MONTHLY_POSITIVE_STRONG,Underlying net FX position; gross counterparties heterogeneous,MARKET_VALUATION,MIXED,Peso depreciation × net long FX exposure → accounting FX/ORI gain; no required household cash payment,Gain accrues from revaluation of own net position; underlying positions can involve many sectors,INDIRECT_HOUSEHOLD_EXPOSURE,No direct fiscal identity; some underlying FX assets may be Treasury Letes,HIGH,V51; BCRA_BANK_MAY2018; BCRA_BANK_JUN2018; BCRA_FX_MAY2018,"Official attribution identifies the FX mechanism, not the economic payer."
2018,H1_2018_vs_H1_2017,interest_expense,,NEGATIVE_DIRECTIONAL,Depositors/funders,DEPOSITOR_COUNTERPARTY,DIRECT_HOUSEHOLD_CONTRACT|CORPORATE_COUNTERPARTY,Bank→depositor/funder interest payment/accrual,Depositors receive this flow; households can be beneficiaries rather than funders of bank profit,DIRECT_HOUSEHOLD_CONTRACT_OPPOSITE_SIGN,No direct fiscal link,HIGH,V50/V51,Depositor sector split is not frozen.
