episode,sector,buffer,function,date,ratio_name,numerator,denominator,ratio_value,unit,coverage_multiple,comparability,status,interpretation,source,notes
2014,bank,provisions,absorb credit losses / cover irregular portfolio,2013-12,headline_provisions_to_irregular,provisions,irregular_portfolio,140.2,%,1.402,HIGH_WITHIN_CONTEMPORARY_VINTAGE,OBSERVED_PRE,Headline provisions exceeded irregular portfolio before the episode.,BCRA Informe sobre Bancos dic-2013,Primary ex-ante vintage. Later official historical table reports 148% private / 150% total.
2014,bank,provisions,absorb credit losses / cover irregular portfolio,2014-12,headline_provisions_to_irregular,provisions,irregular_portfolio,139.6,%,1.396,MEDIUM_HIGH,OBSERVED_POST,Headline coverage remained around 1.4x through year-end 2014.,BCRA Informe sobre Bancos dic-2014,Contemporary year-end synopsis; later/historical tables may round differently.
2018,bank,provisions,absorb losses associated with irregular portfolio,2018-04,adjusted_provisions_to_irregular,provisions attributable to irregular,irregular_portfolio,80.0,%,0.8,MEDIUM_HIGH,OBSERVED_PRE,Adjusted coverage was below 1x before the May shock.,BCRA Informe sobre Bancos abr-2018,Headline total provisions/irregular was 132%; adjusted ratio excludes minimum provisions associated with regular loans.
2018,bank,provisions,absorb losses associated with irregular portfolio,2018-12,adjusted_provisions_to_irregular,provisions attributable to irregular,irregular_portfolio,87.0,%,0.87,MEDIUM_HIGH,OBSERVED_POST,Adjusted coverage improved but remained below 1x.,BCRA Informe sobre Bancos dic-2018,Headline private-sector coverage was about 121%; do not splice headline and adjusted ratios.
2023,bank,provisions,absorb losses associated with irregular portfolio,2023-11,headline_provisions_to_irregular,provisions,irregular_portfolio,128.6,%,1.286,HIGH,OBSERVED_PRE,Headline provisions exceeded irregular loans before December.,BCRA Informe sobre Bancos nov-2023,Adjusted coverage was 90.4%.
2023,bank,provisions,absorb losses associated with irregular portfolio,2023-11,adjusted_provisions_to_irregular,provisions attributable to irregular,irregular_portfolio,90.4,%,0.904,HIGH,OBSERVED_PRE,Function-specific adjusted coverage was just below 1x pre-shock.,BCRA Informe sobre Bancos nov-2023,Preferred ratio for direct provision coverage of irregular credit.
2023,bank,provisions,absorb losses associated with irregular portfolio,2023-12,headline_provisions_to_irregular,provisions,irregular_portfolio,141.0,%,1.41,HIGH,OBSERVED_IMMEDIATE_POST,Headline coverage increased in the first shock month.,BCRA Informe sobre Bancos dic-2023,Adjusted coverage also moved above 1x.
2023,bank,provisions,absorb losses associated with irregular portfolio,2023-12,adjusted_provisions_to_irregular,provisions attributable to irregular,irregular_portfolio,113.2,%,1.132,HIGH,OBSERVED_IMMEDIATE_POST,Adjusted coverage crossed above 1x in December.,BCRA Informe sobre Bancos dic-2023,Does not identify eventual realized credit losses.
2024_followup,bank,provisions,absorb losses associated with irregular portfolio,2024-12,headline_provisions_to_irregular,provisions,irregular_portfolio,168.4,%,1.684,HIGH_WITHIN_2023_24,OBSERVED_FOLLOWUP,Headline provision coverage remained comfortably above irregular credit.,BCRA Informe sobre Bancos dic-2024,Adjusted coverage reported slightly above 100%; exact value not hard-coded.
2023,bank,excess_regulatory_capital,absorb unexpected losses / preserve solvency,2023-11,excess_capital_to_net_private_credit,excess_regulatory_capital,private_credit_net_of_provisions,52.0,%,0.52,HIGH_MODERN_ONLY,OBSERVED_PRE,Large regulatory capital surplus relative to net private-credit stock.,BCRA Informe sobre Bancos nov-2023,"Stock-capacity ratio, not realized-loss coverage."
2023,bank,excess_regulatory_capital,absorb unexpected losses / preserve solvency,2023-12,excess_capital_to_net_private_credit,excess_regulatory_capital,private_credit_net_of_provisions,60.2,%,0.602,HIGH_MODERN_ONLY,OBSERVED_IMMEDIATE_POST,Capital-position ratio increased in the first shock month.,BCRA Informe sobre Bancos dic-2023,Do not compare to 2014/2018 without identical historical denominator.
2024_followup,bank,excess_regulatory_capital,absorb unexpected losses / preserve solvency,2024-12,excess_capital_to_net_private_credit,excess_regulatory_capital,private_credit_net_of_provisions,45.1,%,0.451,HIGH_MODERN_ONLY,OBSERVED_FOLLOWUP,"Ratio fell as real credit expanded, while remaining large.",BCRA Informe sobre Bancos dic-2024,Lower ratio is not itself evidence of weaker solvency.
2014,bank,excess_regulatory_capital,absorb unexpected losses / preserve solvency,2013-12,excess_capital_to_realized_shock_loss,excess_regulatory_capital,incremental_realized_credit_loss,,N/D,,NOT_AVAILABLE,N/D,No compatible monetary realized-loss denominator is frozen.,BCRA + V42,Do not divide % of requirement by ROA or a peso loss.
2018,bank,excess_regulatory_capital,absorb unexpected losses / preserve solvency,2018-04,excess_capital_to_realized_shock_loss,excess_regulatory_capital,incremental_realized_credit_loss,,N/D,,NOT_AVAILABLE,N/D,No compatible monetary realized-loss denominator is frozen.,BCRA + V42,Charge-offs as % assets are not a compatible amount for the capital-surplus % requirement denominator.
2014,bank,liquidity,meet withdrawals / preserve payment continuity,2013-12,liquid_assets_to_funding_stress,liquid_assets,comparable_net_deposit_outflow_or_funding_need,,N/D,,NOT_AVAILABLE,N/D,Liquidity stock is observed but homogeneous stress denominator is not.,BCRA dic-2013,Broad liquidity was 38.5% deposits; not itself shock coverage.
2018,bank,liquidity,meet withdrawals / preserve payment continuity,2018-04,liquid_assets_to_funding_stress,liquid_assets,comparable_net_deposit_outflow_or_funding_need,,N/D,,NOT_AVAILABLE,N/D,Liquidity rose during 2018 but no homogeneous outflow denominator is frozen.,BCRA abr/dic-2018,Broad liquidity 42% pre and 56.4% Dec; do not invent a multiple.
2023,bank,liquidity,meet withdrawals / preserve payment continuity,2023-11,liquid_assets_to_funding_stress,liquid_assets,comparable_net_deposit_outflow_or_funding_need,,N/D,,DIAGNOSTIC_ONLY,N/D,High liquidity and deposit movements exist but portfolio shifts/definitions block clean coverage.,BCRA nov-2023,Broad liquidity 84.1% deposits.
2014,household,unemployment_benefit,replace income for eligible unemployed,2014-01_to_08,benefit_ceiling_to_SMVM,maximum_unemployment_benefit,SMVM,11.11,%,0.1111,HIGH_NORMATIVE,OBSERVED_NORMATIVE,Maximum benefit covered about one ninth of SMVM.,Decreto 267/2006 + SMVM 2014,ARS400 / ARS3600. Not actual prior-wage replacement.
2014,household,unemployment_benefit,replace income for eligible unemployed,2014-09_to_12,benefit_ceiling_to_SMVM,maximum_unemployment_benefit,SMVM,9.09,%,0.0909,HIGH_NORMATIVE,OBSERVED_NORMATIVE,Unchanged nominal ceiling covered a smaller share after SMVM increase.,Decreto 267/2006 + SMVM 2014,ARS400 / ARS4400.
2018,household,unemployment_benefit,replace income for eligible unemployed,2018-09_to_12,benefit_ceiling_to_SMVM,maximum_unemployment_benefit,SMVM,37.22,%,0.3722,HIGH_NORMATIVE,OBSERVED_NORMATIVE,Coverage ceiling materially stronger than 2014.,Resolución 3/2018,Not a realized eligible-prior-wage replacement ratio.
2023,household,unemployment_benefit,replace income for eligible unemployed,2023-09_plus,normative_prior_wage_replacement,benefit_before_bounds,best_net_normal_monthly_wage_previous_6m,75.0,%,0.75,HIGH_NORMATIVE,FORMULA_WITH_BOUNDS,Rule targets 75% of prior eligible net wage before bounds.,Resolución 15/2023,Floor 50% SMVM; ceiling 100% SMVM.
2023,household,unemployment_benefit,replace income for eligible unemployed,2023-09_plus,benefit_bounds_to_SMVM,benefit_floor_to_ceiling,SMVM,,50%-100% range,,HIGH_NORMATIVE,BOUNDED,Benefit is bounded between half and one full SMVM.,Resolución 15/2023,Do not collapse the range to one realized ratio.
2023_24,household,AUH_plus_Alimentar,protect food/basic consumption floor,2023-12,combined_transfer_to_CBA,AUH_plus_Alimentar,CBA_for_official_covered_universe,54.8,%,0.548,HIGH_WITHIN_OFFICIAL_SERIES,OBSERVED_NORMATIVE_COVERAGE,Combined transfer covered just over half of the CBA benchmark.,Ministerio de Capital Humano official coverage series,"Need coverage, not causal poverty effect."
2023_24,household,AUH_plus_Alimentar,protect food/basic consumption floor,2024-12,combined_transfer_to_CBA,AUH_plus_Alimentar,CBA_for_official_covered_universe,100.0,%,1.0,HIGH_WITHIN_OFFICIAL_SERIES,OBSERVED_NORMATIVE_COVERAGE,Combined transfer reached the official CBA benchmark for covered universe.,Ministerio de Capital Humano official coverage series,Causal contribution remains V33 EPH task.
2014/2018/2023,household,liquid_savings,bridge consumption or debt service,pre_shock,liquid_savings_to_essential_spending_or_debt_service,defensible_liquid_savings,monthly_essential_spending_or_debt_service,,N/D,,NOT_AVAILABLE,N/D,No homogeneous distributionally defensible historical liquid-savings ratio recovered.,N/D,Do not substitute aggregate deposits per capita.
