priority,episode,variable_family,target_artifact,preferred_source,status,why,next_action
P0,E0_2001_2003,shock,"Official chronology of convertibility exit, default, corralito/pesification and implementation dates","BCRA + Boletín Oficial + Ministerio de Economía",OPEN_DEEP_GAP,"t0 cannot be assigned from memory","Census local repo first; then retrieve missing primary texts"
P0,E0_2001_2003,banks,"BCRA annual reports, bank-system reports, balance sheets and prudential indicators for 2001–2003",BCRA,OPEN_DEEP_GAP,"bank losses, solvency, liquidity and recovery clock are undocumented in the common schema","Create source map by publication/date before narrative"
P0,E0_2001_2003,state_bcra,"Legal instruments and accounting for asymmetric pesification, compensation and public absorption",Boletín Oficial+BCRA+Tesoro,OPEN_DEEP_GAP,"socialization cannot be labeled without institutional flows","Map mechanism, beneficiary, payer, gross amount and fiscal realization"
P0,E0_2001_2003,households,"Official wages, employment, poverty, deposits and household purchasing-power sources",INDEC+BCRA,OPEN_DEEP_GAP,"household timing and recovery clocks are missing","Freeze vintages/method breaks and avoid retrospective harmonization"
P0,E0_2001_2003,risk,"Mora, provisions, write-offs, capital and liquidity sequence",BCRA,OPEN_DEEP_GAP,"needed to test whether banks also suffered systemic stress","Locate reports/tables and preserve originals"
P0,E0_2001_2003,banks,"Issuer financial statements and audit reports for material banks",Issuers+CNV+AGN,OPEN_DEEP_GAP,"system aggregates may hide heterogeneous incidence","Prioritize institutions material to losses/compensation"
P1,E0_2001_2003,state_bcra,"Independent public audits of compensation/resolution mechanisms",AGN,OPEN,"needed to reconcile legal design with realized flows","Search AGN catalog after official mechanism list exists"
P1,E0_2001_2003,shock,"Program and diagnosis documents",IMF+World Bank+IDB,DISCOVERY_SECONDARY,"useful for program chronology but not a substitute for local primary decisions","Use only after local primary-source map"
P1,E2_2014,credit,"Compatible realized all-in credit cost and stock/origination bridge",BCRA,OPEN,"current support is partial","Check preserved sources before downloading duplicates"
P1,E4_2018_2019,credit,"Compatible originations, rates and borrower-service bridge",BCRA,OPEN,"current causal credit channel is incomplete","Separate pre-existing mora trend from post-t0 credit dynamics"
P1,E5_2020_2021,risk,"Forbearance, classification and provision-rule timeline",BCRA,OPEN_SPECIAL_REGIME,"required before any comparison","Build special-regime metadata only"
P1,E6_2023_2026,banks,"Exact CNV attachment contract and six target issuer binaries",CNV,OPEN,"blocks Mariva/HSBC/BMA exact crosswalks","Observe path+verb+payload; never guess GetPublicValetKey route"
P1,E6_2023_2026,banks,"Banco Rioja compatible 9M opening and 158,789k mismatch explanation",Issuer+BCRA,OPEN_FALSIFIER,"global account mapping remains disproved","Seek documentary reconciliation; do not fit residual"
