row_id,date_or_deadline,stage,actor,record_or_action,documented_evidence,target_request,limit,status
WF158_01,primera semana hábil de octubre,Instrucciones,Sindicatura jurisdiccional,Emite instrucciones para formular el plan UAI,"Método, contenido y plazo obligatorio",Instrucciones generales y particulares 2009,"Regla general, no cuerpo Economía",RULE_DOCUMENTED
WF158_02,antes del 30/10/2008,Presentación inicial,UAI Economía,Presenta proyecto de plan a su Síndico jurisdiccional,Plazo máximo reglamentario,Plan UAI Economía 2009 presentado,No prueba recepción concreta,EXPECTED_TARGET_RECORD
WF158_03,inmediato,Control de completitud,Sindicatura jurisdiccional,Devuelve presentaciones incompletas e identifica deficiencias,Circuito de subsanación,"Nota de devolución, observaciones y nueva versión",Sólo existe si hubo deficiencias,CONDITIONAL_RECORD
WF158_04,desde la recepción,Apertura de legajo,Sindicatura jurisdiccional,Documenta su análisis en legajo plan auditoría UAI,Contenedor reglamentario específico,"Carátula, índice y movimientos del legajo Economía",No es el plan definitivo,EXPECTED_TARGET_CONTAINER
WF158_05,dentro de 10 días,Análisis y dictamen,Síndico jurisdiccional,Analiza y emite opinión fundada,Elevación a Subgerencia,"Dictamen, fecha, firma y plan evaluado",No equivale a aprobación final,EXPECTED_TARGET_RECORD
WF158_06,dentro de 4 días,Evaluación técnica,Subgerencia competente,Evalúa la propuesta y puede requerir modificaciones,Control técnico intermedio,Informe de evaluación y requerimientos,No acredita conformidad ministerial,EXPECTED_TARGET_RECORD
WF158_07,dentro de 4 días,Propuesta preliminar,Subgerencia competente,Remite propuesta de aprobación preliminar,Versión identificable del plan,"Propuesta, versión y elevación",Preliminar no final,EXPECTED_TARGET_RECORD
WF158_08,dentro de 4 días,Aprobación preliminar,Gerencia competente SIGEN,Aprueba preliminarmente el plan,Acto o constancia intermedia,Nota/acto de aprobación preliminar,No es aprobación del Síndico General,EXPECTED_TARGET_RECORD
WF158_09,antes del 15/12/2008,Devolución,Gerencia vía Sindicatura,Devuelve plan y modificaciones requeridas,Cadena de remisión,Nota y plan con cambios marcados,No prueba aceptación de cambios,EXPECTED_TARGET_RECORD
WF158_10,antes del 15/12/2008,Conformidad superior,Autoridad superior de la jurisdicción,Conforma el plan ajustado,Firma ministerial o equivalente,"Plan conformado, firma, fecha y versión",No es aprobación final SIGEN,EXPECTED_TARGET_RECORD
WF158_11,hasta el 15/12/2008,Presentación final en papel,UAI/autoridad jurisdiccional,Ingresa ejemplar papel por Mesa de Entradas y Archivo SIGEN,Canal y fecha reglamentarios,Asiento de entrada y copia papel,No prueba copia magnética,EXPECTED_TARGET_RECORD
WF158_12,hasta el 15/12/2008,Presentación final magnética,UAI/autoridad jurisdiccional,Entrega copia magnética del plan,Soporte exigido separadamente,"Archivo, soporte, metadatos y recepción",No asumir identidad con papel,EXPECTED_TARGET_RECORD
WF158_13,posterior al ingreso,Verificación final,Gerencia competente SIGEN,Verifica versión conformada y cumplimiento de modificaciones,Último control antes del acto,Informe o constancia de verificación,No es todavía acto final,EXPECTED_TARGET_RECORD
WF158_14,posterior a verificación,Proyecto de aprobación,Gerencia competente SIGEN,Eleva proyecto de aprobación,Objeto formal previo al acto,"Proyecto, elevación, firma y anexos",Proyecto no acto,EXPECTED_TARGET_RECORD
WF158_15,15/12/2008 según Memoria,Aprobación final,Síndico General de la Nación,Aprueba Plan SIGEN 2009,Fecha target ya probada,"Acto, número, cuerpo y anexos",Memoria no aporta identificador,TARGET_ACT_OPEN
WF158_16,versión definitiva,Custodia,Gerencia competente SIGEN,Custodia la versión definitiva,Custodio reglamentario explícito,Copia definitiva e índice de custodia,No limita copias en UAI/archivo,TARGET_CUSTODY_ROUTE
WF158_17,eventual,Incumplimiento,SIGEN,Puede promover investigación administrativa,Consecuencia reglamentaria,Actuación si hubo incumplimiento,No hay evidencia de incumplimiento Economía,CONDITIONAL_RECORD
WF158_18,eventual,Plan de oficio,SIGEN,Puede fijar plan básico ante incumplimiento,Versión alternativa reglamentaria,Plan básico y acto de imposición,No presumir que ocurrió,CONDITIONAL_RECORD
WF158_19,09/12/2008,Comparador ORSNA,ORSNA y SIGEN,"Acta registra nota SIGEN, aprobación preliminar, conformidad y elevación final",Aplicación contemporánea del circuito,"Buscar equivalentes de Economía por función, no sólo título",Acta tiene errores internos de año/fecha,COMPARATOR_ONLY
WF158_20,Regla V180,Control de versiones,Todas las unidades,"Cada etapa debe vincular versión, fecha, actor y soporte",Cadena probatoria completa,Solicitar índice y relación entre todas las piezas,Ninguna etapa prueba ejecución bancaria,METHOD_LIMIT
