episode,shock_or_policy,date,mechanical_channel,bank_balance_exposure,accounting_component,observed_component_evidence,identification_level,attribution_status,source_basis,caveat
2014,Depreciación cambiaria de enero,2014-01,revaluación de activos/pasivos en ME,posición neta positiva / descalce ME elevado,diferencias de cotización,monthly FX result 11.3%a; annual gap -0.1pp,MECHANICAL_HIGH,INITIAL_OVERSHOOT_ONLY,V46/V50 + BCRA Jan-2014,El vínculo posición FX→resultado FX es mecánico; no explica la persistencia anual.
2014,Límites a PGN positiva en ME,2014-02 onward,reduce exposición neta al movimiento del dólar,PGN/descalce ME,diferencias de cotización / margen,normalización tras enero,INSTITUTIONAL_HIGH,DIRECTION_SUPPORTED,BCRA Feb/Jul-2014,La norma cambia directamente la exposición permitida; monto exacto de profit effect N/D.
2014,Suba de tasas BCRA + esterilización con LEBAC/NOBAC,2014-H1,más stock/rendimiento de instrumentos BCRA y títulos en cartera,tenencias LEBAC/NOBAC y títulos,resultado por títulos,+1.4pp FY14 vs FY13; Q2 ROA +0.8pp fundamentalmente por títulos,INSTITUTIONAL_HIGH_TIMING_CONSISTENT,PERSISTENT_ABNORMALITY_SUPPORTED,BCRA monetario Jan/May/Jun-2014 + InfBanc Jun,Tenencias LEBAC/NOBAC suben y tasas se elevan; no se identifica cuánto del +1.4 es causalmente atribuible a cada decisión.
2018,Depreciación del peso en mayo,2018-05,revaluación contable de posición en ME,activos/pasivos ME y ORI,diferencias de cotización / ORI,May ROA +1.1pp m/m; BCRA atribuye principalmente a FX,MECHANICAL_HIGH_OFFICIAL_ATTRIBUTION,MONTHLY_EFFECT_SUPPORTED,BCRA May-2018,Caso más fuerte: regulador atribuye explícitamente el aumento mensual.
2018,Suba tasa de referencia + encajes,2018-H2,encarece depósitos/fondeo y cambia composición de liquidez,"depósitos a plazo, CC BCRA, LELIQ/LEBAC",egresos por intereses / margen,negative offset; exact H1 subgap N/D,INSTITUTIONAL_HIGH,NEGATIVE_FUNDING_CHANNEL_SUPPORTED,BCRA Jul/Sep + IEF II-2018,BCRA documenta que el costo de fondeo subió más que tasas activas y comprimió spread.
2018,Inflación/indexación CER,2018,ajuste contractual de activos/pasivos indexados,créditos/activos y pasivos CER/UVA,ajustes CER,positive H1 direction; exact subgap N/D,MECHANICAL_HIGH_NET_DEPENDS_EXPOSURE,DIRECTIONAL_ONLY,BCRA May/Jun-2018,Mecánica de indexación fuerte; neto depende de exposición activa/pasiva.
2018,"Títulos, LEBAC/LELIQ y forwards bajo cambio de régimen",2018-H2,valuación/rendimiento de cartera financiera,tenencias de títulos e instrumentos BCRA,resultado por títulos / operaciones a término,"positive H1 direction, later volatile/reversal",INSTITUTIONAL_HIGH_TIMING_CONSISTENT,MULTIPHASE,BCRA Aug-Nov-2018,Política/tasas alteran precio y composición; no hay treatment effect único.
2018,Deterioro crediticio/mora,2018-H2,más riesgo de incumplimiento→previsiones/incobrabilidad,cartera hogares/privado,cargos por incobrabilidad,H1 contribution -0.3pp,MECHANICAL_HIGH_LAGGED,NEGATIVE_OFFSET,V45/V50 + BCRA,"Canal crediticio existe, pero no crea el abnormal positive."
2023,Salto del TCN 364.40→799.97,2023-12-13,revaluación de posición neta en ME,gap activos-pasivos ME 54.9% RPC dic-23,diferencias de cotización,Q4 vs Q3 +11.3pp,MECHANICAL_HIGH,Q4_GAP_NOT_DEC_ONLY,BCRA dic-2023 + monetario dic-2024,"Dirección mecánica fuerte; Q4 incluye Oct-Nov, por eso no atribuir +11.3 entero a diciembre."
2023,Sustitución LELIQ→pases + tasa de pases,2023-12 / 2024-H1,saldo remunerado × tasa de pase devenga primas,pases netos con BCRA,primas por pases,Q4 vs Q3 +7.7pp; 12m mar-24 increase explicitly tied to larger pass balances,INSTITUTIONAL_HIGH,MECHANISM_EXPLICIT,BCRA 18-12-2023 + IEF Jun-2024,IEF dice que mayores primas se explican por mayor saldo de pases tras sustituir LELIQ.
2023,Inflación + exposición CER/UVA,2023-Q4,indexación de partidas CER/UVA,gap CER/UVA 61.9% RPC dic-23,ajustes CER/CVS,Q4 vs Q3 -0.2pp; 12m mar-24 rises strongly,MECHANICAL_HIGH_NET_DEPENDS_EXPOSURE,MIXED_BY_WINDOW,BCRA dic-2023 + IEF Jun-2024,"La misma inflación favorece partidas indexadas según posición, pero el Q4 gap puntual no es positivo."
2023,Inflación sobre partidas monetarias,2023-Q4,reexpresión en moneda homogénea genera pérdida por exposición monetaria neta,posición monetaria neta,resultado monetario,Q4 vs Q3 -9.2pp,MECHANICAL_HIGH_ACCOUNTING,NEGATIVE_OFFSET,BCRA IEF II-2024,Ejemplo clave de shock común con signo contrario al CER/FX.
2023,Tenencia de títulos públicos + precios de mercado,2023-Q4 / 2024,rendimiento/valuación de títulos en cartera,crédito al sector público / títulos,resultado por títulos + ORI,Q4 vs Q3 +7.3pp,INSTITUTIONAL_HIGH_TIMING_CONSISTENT,ABNORMAL_COMPONENT_SUPPORTED,BCRA IEF Jun-2024,BCRA liga nivel elevado a mayor financiamiento público y buen desempeño de cotizaciones; causal share exacto N/D.
2023,Baja de tasas y desinflación durante 2024,2024,menor tasa/saldo remunerado y menor indexación reducen margen; menor inflación reduce pérdida monetaria,"pases, títulos, CER, fondeo, posición monetaria",pases / títulos / CER / monetario / intereses,"reversal: lower passes, securities, CER; smaller interest expense and monetary loss cushion",INSTITUTIONAL_HIGH_REVERSAL,REVERSAL_SUPPORTED,BCRA Aug/Sep-2024,Fuerte falsificador de persistencia: políticas/desinflación dan vuelta varios componentes.
