scan_id,surface,period_or_collection,target,result,classification,service_state,next_step
LA169_01,Wayback CDX,2013-2020,www.sigen.gov.ar/documentacion/plananualpdfs/*,25 HTTP-200 PDF rows; plans 2013-2015 only,LATE_DIRECTORY_CAPTURE_TARGET_2009_ABSENT_SCOPED,OK,institutional archive and mirrors
LA169_02,Wayback CDX,2013-2020,Plan SIGEN 2009 + Anexo G + planred2009,not present among returned directory rows,LATE_ARCHIVE_NEGATIVE_SCOPED,OK,do not infer deletion date
LA169_03,Common Crawl,CC-MAIN-2013-20/2013-48/2014-10/2014-15,*.sigen.gov.ar/documentacion/plananualpdfs/*,superseded in V177: wildcard/domain query did not reliably constrain the folder,SUPERSEDED_INVALID_QUERY_NEGATIVE,INVALIDATED,exact host prefix + matchType=prefix + JSON/URL validation
LA169_04,Common Crawl,catalog/full 2013-2020 retry,directory + exact main/annex G/plan red,catalog/index connection timed out; batch interrupted without completed export,SERVICE_UNAVAILABLE_NOT_NEGATIVE,ERROR,rerun bounded yearly batches
LA169_05,InfoLEG Actos de Gobierno,78 issues 2008-09-15 to 2010-03-08,Plan SIGEN annual publications,Plan 2008 and two Plan 2010 parts; no Plan 2009 title,EDITORIAL_SURFACE_NEGATIVE_SCOPED,OK,request publication/custody certificate
LA169_06,public web exact-title search,2026-08-31,four exact Plan 2009 filenames/titles,no target bodies; official Memory 2008 remained only exact approval reference,SEARCH_ENGINE_NEGATIVE_SCOPED,OK,custody request by exact filenames
LA170_07,Common Crawl official catalog,2013-2020 · 74 collections,queryable collection universe,74 collection identifiers authenticated,COLLECTION_UNIVERSE_VERIFIED_RESULTS_PENDING,CATALOG_OK,resume exact-prefix batches
LA170_08,Common Crawl broad query audit,2013-2015 · 20 collections,wildcard domain/path pattern,12 service errors; 6 HTML-503 false positives; 2 general-domain result sets,BROAD_BATCH_INVALIDATED,MIXED_INVALID,do not use as capture or negative evidence
LA170_09,Common Crawl exact-prefix retry,2013 · 2 collections × 2 hosts,exact folder prefix with matchType=prefix,4 service errors; zero evaluable responses,SERVICE_ERRORS_NOT_NEGATIVES,ERROR,retry with backoff when service recovers
LA170_10,public exact-title search,2026-08-31,four exact Plan 2009 filename/title probes,no target body returned,SEARCH_ENGINE_NEGATIVE_SCOPED,OK,institutional custody by 14 exact routes
LA170_11,SIGEN/Normativa/Boletín Oficial search,approval date 2008-12-15,Plan SIGEN 2009 approval act,no act number or body located; Memory 2008 remains exact approval reference,PUBLIC_ACT_SEARCH_NEGATIVE_SCOPED,OK,"approval register, file and UAI communication"
LA170_12,CGN Cuenta 2009 UEPEX,2009,recipient of Nota SIGEN 3672/09,CGN identified as contextual recipient by narrative antecedent,RECIPIENT_IDENTIFIED_BY_CONTEXT_CGN,OK,formal addressee and CGN incoming identifier
LA171_13,Common Crawl exact-prefix,2014 · 8 collections × 2 hosts,SIGEN plananualpdfs exact prefix,4 valid no-capture responses; 12 service errors; 0 captures,FOUR_SCOPED_NEGATIVES_TWELVE_ERRORS,MIXED,retry only errors; do not generalize four negatives
LA171_14,Common Crawl exact-prefix,2015 · 10 collections × 2 hosts,SIGEN plananualpdfs exact prefix,20 service errors; 0 evaluable responses,SERVICE_ERRORS_NOT_NEGATIVES,ERROR,retry after service recovery
LA171_15,Common Crawl boundary control,2016 · first/last collections × 2 hosts,SIGEN plananualpdfs exact prefix,4 of 4 service errors; full batch deferred,BOUNDARY_FAILURE_BATCH_DEFERRED,ERROR,run remaining 14 queries only after valid control
LA171_16,public/library/repository/archive exact-title search,14 archived official filenames,"Plan 2009, Annex F 8-18, Annex G, Plan Red",0 target bodies returned,FOURTEEN_FILENAME_NEGATIVE_SCOPED,OK,institutional custody request
LA171_17,CGN Disposition 41/1996,record rule applicable to 2009,recipient registry for Note 3672/09,mandatory Mesa entry and internal-pass log identified,PRIMARY_REGISTRY_ROUTE_LOCATED,OK,request exact entry and pass history
LA171_18,CGN Circular 04/2010,2010 transition comparator,COMDOC versus Note route,COMDOC boundary dated; internal Note route persists,TEMPORAL_DOCUMENT_ROUTE_BOUNDARY_LOCATED,OK,do not make COMDOC exclusive for 2009
LA171_19,SIGEN/Normativa/Boletín Oficial exact-date search,approval 2008-12-15,Plan SIGEN 2009 approval act,no act number or body located,PUBLIC_ACT_SEARCH_NEGATIVE_SCOPED,OK,approval registry and file remain requested
