component_id,ief_label,ief_q3_2023_pct_a_an,ief_q4_2023_pct_a_an,ief_q4_minus_q3_pp,p24_candidate_component,q3_candidate_flow_sep2023_millions,q4_candidate_flow_dec2023_millions,q3_implied_an_millions,q4_implied_an_millions,q3_implied_an_vs_anchor_ratio,q4_implied_an_vs_anchor_ratio,anchor_q3_millions,anchor_q4_millions,reconciliation_status,reason,precision
margin_integral_real,Margen financiero integral real,14.4,30.6,16.2,,,,,,,,63767782.462,92210597.385,NO_ISOLATED_P24_MATCH,P24 does not isolate the IEF analytical component at the required definition.,IEF_EXACT_P24_NA
interest_income,Ingresos por intereses,13.5,15.6,2.1,interest_income_broad,7050645.459264,12223198.689527,208908013.608,313415351.014,3.2761,3.3989,63767782.462,92210597.385,REJECT_DIRECT_P24_MAPPING,P24 broad interest-income flow implies an asset denominator ~3.28x (Q3) and ~3.40x (Q4) the anchor; not the same IEF component.,DIAGNOSTIC_APPROX_V57_IPC_ROUNDED
interest_expenses,Egresos por intereses,-36.9,-39.8,-2.9,interest_expenses,-5873168.543172,-9260517.7574,63665783.666,93070530.225,0.9984,1.0093,63767782.462,92210597.385,APPROX_DIRECT_MAPPING_SUPPORTED,Implied denominator is tightly consistent with cross-component anchor in both quarters.,DIAGNOSTIC_APPROX_V57_IPC_ROUNDED
cer_cvs,Ajustes CER y CVS,8.1,7.9,-0.2,,,,,,,,63767782.462,92210597.385,NO_ISOLATED_P24_MATCH,P24 does not isolate the IEF analytical component at the required definition.,IEF_EXACT_P24_NA
fx,Diferencias de cotización,6.9,18.2,11.3,,,,,,,,63767782.462,92210597.385,NO_ISOLATED_P24_MATCH,P24 does not isolate the IEF analytical component at the required definition.,IEF_EXACT_P24_NA
passes,Primas por pases,8.8,16.5,7.7,,,,,,,,63767782.462,92210597.385,NO_ISOLATED_P24_MATCH,P24 does not isolate the IEF analytical component at the required definition.,IEF_EXACT_P24_NA
securities_ori,Resultado por títulos valores c/ORI,28.1,35.4,7.3,,,,,,,,63767782.462,92210597.385,NO_ISOLATED_P24_MATCH,P24 does not isolate the IEF analytical component at the required definition.,IEF_EXACT_P24_NA
monetary_result,Resultado monetario,-14.2,-23.4,-9.2,monetary_result,-2256662.459866,-5392150.427927,63567956.616,92173511.588,0.9969,0.9996,63767782.462,92210597.385,APPROX_DIRECT_MAPPING_SUPPORTED,Implied denominator is tightly consistent with cross-component anchor in both quarters.,DIAGNOSTIC_APPROX_V57_IPC_ROUNDED
other_financial,Otros resultados financieros,0.0,0.3,0.3,,,,,,,,63767782.462,92210597.385,NO_ISOLATED_P24_MATCH,P24 does not isolate the IEF analytical component at the required definition.,IEF_EXACT_P24_NA
services,Resultado por servicios,1.4,1.4,0.0,__services_net__,188873.508814,268031.606258,53963859.661,76580458.931,0.8463,0.8305,63767782.462,92210597.385,WEAK_APPROX_MAPPING_NOT_TIGHT,Net broad services line is less denominator-consistent; no exact identity elevated.,DIAGNOSTIC_APPROX_V57_IPC_ROUNDED
credit_loss,Cargos por incobrabilidad,-0.7,-1.9,-1.2,credit_loss_charges,-117884.143497,-430239.041516,67362367.713,90576640.319,1.0564,0.9823,63767782.462,92210597.385,APPROX_DIRECT_MAPPING_SUPPORTED_WITH_ROUNDING,Implied denominator is close to anchor; V57 quarter flows use rounded monthly IPC.,DIAGNOSTIC_APPROX_V57_IPC_ROUNDED
admin,Gastos de administración,-7.2,-8.7,-1.5,admin_expenses,-1149656.062637,-2006387.109192,63869781.258,92247683.181,1.0016,1.0004,63767782.462,92210597.385,APPROX_DIRECT_MAPPING_SUPPORTED,Implied denominator is tightly consistent with cross-component anchor in both quarters.,DIAGNOSTIC_APPROX_V57_IPC_ROUNDED
tax_diverse_ori,"Cargas imp., diversos y resto ORI",-1.8,-2.5,-0.7,,,,,,,,63767782.462,92210597.385,NO_ISOLATED_P24_MATCH,P24 does not isolate the IEF analytical component at the required definition.,IEF_EXACT_P24_NA
income_tax,Impuesto a las ganancias,-2.9,-6.9,-4.0,income_tax,-492536.013781,-1457670.965919,67936001.901,84502664.691,1.0654,0.9164,63767782.462,92210597.385,WEAK_APPROX_MAPPING,Implied denominator is directionally near anchor but less tight; keep diagnostic only.,DIAGNOSTIC_APPROX_V57_IPC_ROUNDED
roa,Resultado total (ROA),3.1,12.1,9.0,total_comprehensive_result,479845.304777,3134122.379248,61915523.197,103607351.38,0.971,1.1236,63767782.462,92210597.385,BROAD_RESULT_NOT_USED_AS_COMPONENT_ANCHOR,Total comprehensive result/ROA is broader and affected by ORI/denominator treatment; diagnostic only.,DIAGNOSTIC_APPROX_V57_IPC_ROUNDED
