control_id,period,measure,issuer_value_thousand_ars,raw_account_set,raw_values_thousand_ars,raw_sum_thousand_ars,difference_issuer_minus_raw,verdict,analytic_use
BR166_01,9M-2023,active_repo_stock,14191142,141144+141222,14148116+43026,14191142,0,EXACT_STOCK_RECONCILIATION,Validates September capital-plus-accrued-interest stock; not a result-flow allocation.
BR166_02,FY-2023,active_repo_stock,29217148,141144+141222,28978965+79394,29058359,158789,CLOSING_LAYER_DIFFERENCE_CONFIRMED_STOCK,"A6358/A6402 prove the account mapping; annual discipline disclosure reports 29217148 in publication and supervision, while raw detail sums 29058359. Cause and journal remain unauthenticated."
BR166_03,FY-2023,repo_income_bcra,14409056,511108,14250267,14250267,158789,EXACT_DUAL_SIDED_RESIDUAL,Same residual as the asset-side stock bridge; supports but does not authenticate a closing entry.
BR166_04,FY-2023,repo_expense_bcra,7844,521108,7844,7844,0,EXACT_ENTITY_SPECIFIC_FY,Expense leg reconciles.
BR166_05,Q4-2023,repo_income_bcra_raw_to_raw,N/A,14250267-5712151*1.532908152197492,5494064.165516943874708,5494064.165516943874708,N/A,ARITHMETIC_ONLY_NOT_PROMOTED,Homogeneous regulatory candidate; not issuer-authenticated at 9M.
BR166_06,Q4-2023,repo_income_bcra_adjusted_closing_hypothesis,5652853.165516943874708,14409056-5712151*1.532908152197492,5652853.165516943874708,5652853.165516943874708,158789,SINGLE_ADJUSTING_ENTRY_HYPOTHESIS_UNAUTHENTICATED,Upper scenario if the equal debit/credit residual is a closing accrual; not panel evidence.
BR166_07,Q4-2023,repo_expense_bcra,0.108985205433436,7844-5117*1.532908152197492,0.108985205433436,0.108985205433436,0,EXACT_ARITHMETIC_NOT_PANEL_PROMOTION,One resolved leg does not satisfy the four-leg gate.
BR166_08,9M-2024,active_repo_stock,0,N/A_NOT_USED,N/A,N/A,N/A,OFFICIAL_NEGATIVE_TEMPORAL_COMPARATOR,Shows zero repo stock a year later; no comparative 2023 result opening.
BR166_09,FY-2023,active_repo_stock_publication_vs_supervision,29217148,DISCIPLINE_MARKET_PUBLICATION_COLUMN_VS_SUPERVISION_COLUMN,29217148_vs_29217148,29217148,0,EXACT_PUBLICATION_SUPERVISION_CLOSING_DISCLOSURE,Confirms the later closing disclosure layer uses the audited stock on both perimeters; does not authenticate the 158789 journal or 9M result flow.
BR166_10,FY-2023,total_asset_and_current_result_closing_delta,62306,100000_AND_500000,96882462_assets_and_-1216956_result,N/A,62306,EXACT_FULL_CLOSING_PACKAGE_DUAL_DELTA,Audited assets and current result each improve by 62306; liabilities and pre-result equity remain exact.
BR166_11,FY-2023,nonrepo_offset_component,-96483,TOTAL_MINUS_REPO_COMPONENT,62306-158789,-96483,-96483,EXACT_RESIDUAL_DECOMPOSITION_NOT_JOURNAL_AUTHENTICATION,Shows the repo +158789 component is offset by -96483 elsewhere; does not identify the number or nature of underlying entries.
BR166_12,FY-2023_later_comparative,interest_income_corrected_public_layer,14409056_repo_component,511108_PLUS_CLOSING_158789,14250267+158789,14409056,0,LATER_BCRA_COMPARATIVE_AUTHENTICATES_RESULT_CLOSING_LAYER,Later BCRA IEF carries Dic-2023 financial and interest income +158.8m while other financial income and all financial expenses remain unchanged; supports exact FY Annex-Q repo correction.
