episodio,fecha,actor,documento,tipo_documento,objetivo_declarado,incidencia_distributiva_anticipada,beneficiarios_explicitos,perjudicados_o_cost_bearers_explicitos,coordinacion_institucional_explicita,coordinacion_distributiva_hogar_banco_explicita,cita_corta,nivel_fuente,senal_documental,url,nota_metodologica
2014_A5590,2014-06-10,BCRA,Comunicación A5590,norma,Regular tasas máximas en financiaciones a personas físicas mediante cap indexado a LEBAC.,Reduce mecánicamente el máximo de TNA cuando el cap es vinculante.,Deudores/personas físicas alcanzadas.,Entidades con tasas preexistentes por encima del cap pierden margen de fijación.,NO,NO,“tasas de interés máximas”,PRIMARIA,MECHANISM_CLEAR,https://www.boletinoficial.gob.ar/detalleAviso/primera/109314/20140724,Define grupos I/II y multiplicadores; permite tratamiento por bindingness.
2014_A5590,2014-06-11,BCRA,Informe Monetario Mensual · mayo 2014,informe contemporáneo,Limitar el costo del crédito para segmentos más vulnerables.,Anticipa una incidencia protectora explícita sobre prestatarios vulnerables.,Segmentos vulnerables de la población.,No identifica perjudicado como objetivo; la restricción recae sobre pricing de entidades.,NO,NO,“limitar el costo del crédito”,PRIMARIA,HOUSEHOLD_PROTECTION_EXPLICIT,https://www.bcra.gob.ar/publicaciones/informe-monetario-mensual-mayo-de-2014/,"Objetivo distributivo explícito, contrario a una lectura de propósito pro-banco en este episodio."
2014_A5590,2014-07-10,BCRA,Informe Monetario Mensual · junio 2014,informe contemporáneo,Monitorear implementación de A5590 y evolución monetaria/crediticia.,"Documenta caída mensual de 4 p.p. en personales hasta 40,5%.",Prestatarios de personales/prendarios.,N/D.,NO,NO,“descenso de 4 p.p.”,PRIMARIA,OUTCOME_CONSISTENT_NOT_CAUSAL,https://www.bcra.gob.ar/publicaciones/informe-monetario-mensual-junio-de-2014/,Coherencia externa; no identifica causalidad por sí sola.
2014_A5590,2015-02-27,BCRA,Informe Macroeconómico y de Política Monetaria · 1T2015,informe retrospectivo oficial,Evaluar políticas 2014.,"Reporta tasas familiares -7 p.p. mayo-julio y personales acelerando 1,4%→2,3% mensual entre semestres.",Familias/prestatarios.,N/D.,NO,NO,“se redujeron 7 p.p.”,PRIMARIA,QUANTITY_FALSIFIER_SUPPORT,https://www.bcra.gob.ar/publicaciones/informe-macroeconomico-y-de-politica-monetaria-primer-trimestre-de-2015/,Debilita racionamiento agregado inmediato; sigue sin microidentificación.
2015_A5853,2015-12-17,BCRA,Comunicación A5853,norma,"Eliminar límites de tasas activas/pasivas y restablecer concertación libre, dentro de un paquete normativo más amplio.",Elimina una restricción potencial al precio del crédito.,No explicita beneficiario distributivo.,Deudores pierden la protección del cap donde éste habría sido vinculante.,NO,NO,“se concertarán libremente”,PRIMARIA,INCIDENCE_CLEAR_OBJECTIVE_NOT_DISTRIBUTIVE,https://www.boletinoficial.gob.ar/detalleAviso/primera/140728/20160203,La incidencia normativa es clara; el motivo distributivo no está establecido en la norma.
2015_A5853,2016-01-11,BCRA,Informe Monetario Mensual · diciembre 2015,informe contemporáneo,"Estabilidad de precios, normalización monetaria/cambiaria, unificación del mercado de cambios y recomposición del balance del BCRA.","Reconoce eliminación de límites como parte de cambio de régimen, no como transferencia distributiva declarada.",Economía/sistema monetario en términos generales.,N/D.,YES_POLICY_PACKAGE,NO,“estabilidad de precios”,PRIMARIA,ALTERNATIVE_MACRO_OBJECTIVE,https://www.bcra.gob.ar/publicaciones/informe-monetario-mensual-diciembre-2015/,Importante confounder documental y causal para cualquier before/after.
2015_A5853,2015-12-14,BCRA / Federico Sturzenegger,Discurso de inicio y lineamientos de gestión,discurso,Normalización cambiaria y transición a metas de inflación.,No formula como objetivo beneficiar bancos ni perjudicar hogares.,Estabilidad nominal / funcionamiento macro.,N/D.,NO,NO,“objetivo indeclinable”,PRIMARIA,ALTERNATIVE_MACRO_OBJECTIVE,https://www.bcra.gob.ar/noticias/discurso-de-inicio-gestion-sturzenegger/,Sirve para corpus de intención; no prueba resultados.
2016_A5928,2016-03-21,BCRA,Comunicación A5928,norma de protección al usuario,"Proteger usuarios, transparentar costos y prohibir cargos/retribuciones vinculados al seguro de saldo deudor.","Desde 1/09/2016, nuevas financiaciones no pueden trasladar ese cargo al usuario; stock previo queda afuera.",Usuarios/deudores de nuevas financiaciones.,Entidades pasan a soportar costo de cobertura o autoaseguro; se prohíbe utilidad por el seguro accesorio.,NO,NO,“no podrán percibir … comisión y/o cargo”,PRIMARIA,COST_SHIFT_TO_BANK_EXPLICIT,https://www.boletinoficial.gob.ar/detalleAviso/primera/143688/20160415,Control positivo fuerte contra tesis de protección bancaria universal.
2016_A5928,2016-11-16,BCRA,Informe sobre Bancos · septiembre 2016,informe contemporáneo,Evaluar evolución del sistema y normativa reciente.,TNA de personales estable; BCRA anticipa reducción del CFT por eliminación del cargo.,Deudores de nuevas financiaciones.,Menor ingreso/cargo trasladable; efecto neto sobre banco requiere balances.,NO,NO,“reducción del costo financiero total”,PRIMARIA,MECHANISM_VALIDATION,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc0916.pdf,El informe también muestra margen/ROA: no equiparar cargo eliminado con utilidad neta.
2016_A5928,2018-03-22,Superintendencia de Seguros de la Nación,Resolución SSN 298/2018,norma/interpretación posterior,Actualizar pautas de seguro colectivo de saldo deudor.,Explicita que A5928 obliga a entidades financieras a soportar la prima.,Usuarios de crédito.,Entidades financieras.,NO,NO,“deben soportar el pago de la prima”,PRIMARIA,COST_ON_BANKS_CONFIRMED,https://www.argentina.gob.ar/normativa/nacional/norma-308218/actualizacion,Confirmación regulatoria posterior de incidencia.
