object_id,owner_or_system,requested_record,minimum_usable_fields,success_test,negative_response_rule,status
RO151_01,SAF355_LOCAL,Base local/origen SAF355,tipo; número SAF; número SIDIF; cabecera; renglones; estado; timestamps,consulta por seis variantes y C41/C42/C55,"Individualizar repositorio, búsqueda, backup, migración, transferencia o disposición; ofrecer metadatos no exceptuados.",DRAFT_NOT_SENT
RO151_02,SAF355_BACKUP,Backup/restauración local,sistema; motor; versión; corte; soporte; hash; log de restore,export reproducible,"Individualizar repositorio, búsqueda, backup, migración, transferencia o disposición; ofrecer metadatos no exceptuados.",DRAFT_NOT_SENT
RO151_03,SIDIF_CENTRAL,Base SIDIF Central/CGN,tipo; número; ejercicio; estado; cabecera; renglones; historia,consulta independiente por las mismas claves,"Individualizar repositorio, búsqueda, backup, migración, transferencia o disposición; ofrecer metadatos no exceptuados.",DRAFT_NOT_SENT
RO151_04,DUAL_RECONCILIATION,Conciliación local-central,identificadores; diferencias; operador; fecha; ajuste,un evento sin doble conteo,"Individualizar repositorio, búsqueda, backup, migración, transferencia o disposición; ofrecer metadatos no exceptuados.",DRAFT_NOT_SENT
RO151_05,TRANSAF_SEND,Lote/log de envío SAF→Central,ejercicio; lote; transacción; nodo; fecha; estado; archivo; acuse; error,vínculo al registro local,"Individualizar repositorio, búsqueda, backup, migración, transferencia o disposición; ofrecer metadatos no exceptuados.",DRAFT_NOT_SENT
RO151_06,TRANSAF_RECEIVE,Recepción/descarga Central→SAF,ejercicio; lote; nodo; sentido; fecha; estado; archivos,vínculo al registro central,"Individualizar repositorio, búsqueda, backup, migración, transferencia o disposición; ofrecer metadatos no exceptuados.",DRAFT_NOT_SENT
RO151_07,TRANSAF_SECURITY,Autenticación/firma/protocolo,protocolo; resultado; certificado; operador; timestamp,metadatos preservados o respuesta fundada,"Individualizar repositorio, búsqueda, backup, migración, transferencia o disposición; ofrecer metadatos no exceptuados.",DRAFT_NOT_SENT
RO151_08,TRANSAF_ARCHIVE,"Backend, archivo y backups fuera de interfaz",serie; rango; soporte; ubicación; migración; disposición,no limitar a 30 días de UI,"Individualizar repositorio, búsqueda, backup, migración, transferencia o disposición; ofrecer metadatos no exceptuados.",DRAFT_NOT_SENT
RO151_09,CGN_LOCAL_LIST,Listado parametrizado del sistema local,parámetros; columnas; filas; fecha; emisor,salida original íntegra,"Individualizar repositorio, búsqueda, backup, migración, transferencia o disposición; ofrecer metadatos no exceptuados.",DRAFT_NOT_SENT
RO151_10,CGN_CENTRAL_LIST,Listado Parametrizado del SIDIF Central remitido por la CGN,parámetros; columnas; filas; fecha; destinatario,salida original íntegra,"Individualizar repositorio, búsqueda, backup, migración, transferencia o disposición; ofrecer metadatos no exceptuados.",DRAFT_NOT_SENT
RO151_11,CGN_SPECIFIC_QUERY,Consulta específica de movimientos,sentencia/parámetros; resultados; cero explícito; operador; fecha,cada ID y variante,"Individualizar repositorio, búsqueda, backup, migración, transferencia o disposición; ofrecer metadatos no exceptuados.",DRAFT_NOT_SENT
RO151_12,CGN_RESPONSE,Devolución/comunicación/ajuste,nota; expediente; observación; reemplazo; ajuste; vínculo,cadena de corrección completa,"Individualizar repositorio, búsqueda, backup, migración, transferencia o disposición; ofrecer metadatos no exceptuados.",DRAFT_NOT_SENT
RO151_13,UAI_CERT,Certificación UAI de formularios tardíos,universo; fuentes; pruebas; observaciones; firma; fecha,identificación target o cero fundado,"Individualizar repositorio, búsqueda, backup, migración, transferencia o disposición; ofrecer metadatos no exceptuados.",DRAFT_NOT_SENT
RO151_14,BANK_EXTRACT,Extracto bancario,cuenta; fecha valor; signo; moneda; importe; referencia; saldo,movimiento individual,"Individualizar repositorio, búsqueda, backup, migración, transferencia o disposición; ofrecer metadatos no exceptuados.",DRAFT_NOT_SENT
RO151_15,TGN_TRANSFER,Formulario/respaldo de transferencia TGN,orden; lote; cuenta; fecha; importe; beneficiario,puente sistema-banco,"Individualizar repositorio, búsqueda, backup, migración, transferencia o disposición; ofrecer metadatos no exceptuados.",DRAFT_NOT_SENT
RO151_16,ARQUEO,Acta de Arqueo de Fondos y Valores,fecha; cuentas; saldos; diferencias; firmas,control de cierre,"Individualizar repositorio, búsqueda, backup, migración, transferencia o disposición; ofrecer metadatos no exceptuados.",DRAFT_NOT_SENT
RO151_17,INVENTORY,Inventario/transferencia documental SAF355-CGN-UAI,serie; caja; folio; fecha; destino; responsable,custodio actual nominado,"Individualizar repositorio, búsqueda, backup, migración, transferencia o disposición; ofrecer metadatos no exceptuados.",DRAFT_NOT_SENT
RO151_18,NEGATIVE_CERT,Informe de búsqueda negativa,repositorios; parámetros; fechas; backups; migraciones; disposición; responsable,respuesta reproducible y apelable,"Individualizar repositorio, búsqueda, backup, migración, transferencia o disposición; ofrecer metadatos no exceptuados.",DRAFT_NOT_SENT
