state_id,sigade_state,sidif_state,bank_or_external_state,permitted_conclusion,evidence_strength,source_id,temporal_limit
TS147_01,PRESENT,PAID,MATCH,Payment can be confirmed if identity/date/account/amount reconcile,STRONG,e0_agn_resolution_86_2021_public_debt_control,Later examples are methodological comparators; target remains unproved.
TS147_02,ACTIVE,PAID,MATCH,Payment may be real while SIGADE derecognition is pending,STRONG_WITH_REGISTRY_MISMATCH,e0_agn_resolution_86_2021_public_debt_control,Later examples are methodological comparators; target remains unproved.
TS147_03,ABSENT,PAID,MATCH,Absence in SIGADE does not negate a bank-confirmed payment,STRONG_WITH_SYSTEM_OMISSION,e0_agn_resolution_86_2021_public_debt_control,Later examples are methodological comparators; target remains unproved.
TS147_04,CANCELLED,PAID,NO_BANK_RECORD,Accounting state alone does not prove settlement,OPEN,e0_agn_resolution_86_2021_public_debt_control,Later examples are methodological comparators; target remains unproved.
TS147_05,ACTIVE,NO_PAYMENT,NO_BANK_RECORD,No payment shown in sampled systems; universe/coverage still required,NEGATIVE_WITH_LIMIT,e0_agn_resolution_86_2021_public_debt_control,Later examples are methodological comparators; target remains unproved.
TS147_06,ABSENT,NO_PAYMENT,NO_BANK_RECORD,Double absence is not proof of non-occurrence without archive coverage,OPEN_NEGATIVE,e0_agn_resolution_86_2021_public_debt_control,Later examples are methodological comparators; target remains unproved.
TS147_07,PRESENT,REVERSED,REVERSAL_MATCH,Reversal is not a completed payment,NOT_SETTLED,e0_agn_resolution_86_2021_public_debt_control,Later examples are methodological comparators; target remains unproved.
TS147_08,PRESENT,PAID,MISMATCH,Amount/date/account mismatch requires reconciliation,CONFLICT,e0_agn_resolution_86_2021_public_debt_control,Later examples are methodological comparators; target remains unproved.
TS147_09,HOLDOUT_2019,793.65m_PAID_ESIDIF,SIGADE_ABSENT,Later example of payment truth outside SIGADE,COMPARATOR_ONLY,e0_mecon_uai_report_48_2023_saf355_closure,Later examples are methodological comparators; target remains unproved.
TS147_10,HOLDOUT_2020,417.52m_PAID_ESIDIF,SIGADE_ABSENT,Later example of payment truth outside SIGADE,COMPARATOR_ONLY,e0_mecon_uai_report_48_2023_saf355_closure,Later examples are methodological comparators; target remains unproved.
TS147_11,HOLDOUT_2022,108.29m_PAID_ESIDIF,SIGADE_ABSENT,Later example of payment truth outside SIGADE,COMPARATOR_ONLY,e0_mecon_uai_report_48_2023_saf355_closure,Later examples are methodological comparators; target remains unproved.
TS147_12,TARGET_2008,UNKNOWN,UNKNOWN,Requires forms 71597/152677/2876 plus TGN/bank bridge,OPEN_0_OF_10,e0_agn_resolution_86_2021_public_debt_control,Later examples are methodological comparators; target remains unproved.
