chain_id,trigger_or_contract,immediate_counterparty_flow,bank_accounting_effect,first_order_economic_incidence,second_order_bridge,fiscal_or_household_caveat,household_link,confidence,source_basis
PASSES_2023,BCRA policy instrument / pass contract,BCRA pays/accrues pass premium,Bank records pass premium income,BCRA result and/or remunerated monetary liabilities absorb immediate cost,Settlement/rollover can affect monetary liabilities; BCRA explicitly described endogenous issuance/quasi-fiscal channel,Treasury deposits/fiscal flows can offset or alter monetary impact; no one-to-one taxpayer identity,NO_DIRECT_HOUSEHOLD_CONTRACT,VERY_HIGH,BCRA_EC_2023; BCRA_OBJECTIVES_2024; BCRA_IEF_JUN2024
LEBAC_NOBAC_2014,BCRA issues monetary-regulation instrument,Interest/devengement owed by BCRA to holder bank,Bank recognizes yield/result,BCRA balance/result is immediate issuer-side incidence,"Monetary/quasi-fiscal implications depend on rollover, sterilization and balance-sheet management",No direct household payer established,NO_DIRECT_HOUSEHOLD_CONTRACT,HIGH,BCRA_MONETARY_JAN2014; BCRA_ANNUAL_2014
TREASURY_SECURITIES,Treasury issues security,Coupon/indexation/principal owed by Treasury to holder,Bank recognizes interest/indexation as applicable,Treasury debt service is direct fiscal incidence,"Financing can come from taxes, new debt, cash balances or other fiscal resources",Household incidence only indirect unless a specific tax/financing bridge is identified,INDIRECT_HOUSEHOLD_EXPOSURE,HIGH,BCRA_IEF_JUN2024
SECURITIES_MARK_TO_MARKET,Market price changes,No required contemporaneous issuer cash flow,Bank recognizes valuation gain/ORI,Counterpart is market valuation/own balance position,Future realization may involve a market buyer; recognition itself is not a Treasury/BCRA payment,No direct household contract,NO_DIRECT_HOUSEHOLD_CONTRACT,VERY_HIGH,V50/V51
FX_REVALUATION,Exchange rate changes × net FX position,No required bilateral payer for accounting revaluation,Bank recognizes FX difference/ORI,Incidence lies in balance-sheet exposure and underlying asset/liability holders,"Underlying contracts may have depositors, firms, public sector, derivatives counterparties",Household link cannot be inferred from aggregate FX gain,INDIRECT_HOUSEHOLD_EXPOSURE,VERY_HIGH,V51; BCRA_BANK_MAY2018; BCRA_BANK_DEC2023
CER_UVA_ASSET,CER/UVA index rises,Indexed debtor/issuer owes adjusted contractual amount,Bank recognizes CER/UVA income,"Depends on asset type: household mortgage, corporate loan, Treasury bond, etc.","If liability side is indexed, bank also owes depositor/funder adjustment",Direct household link only for explicitly identified household loan balance,DIRECT_HOUSEHOLD_CONTRACT_PARTIAL_UNQUANTIFIED,HIGH,V51
HOUSEHOLD_LOAN_INTEREST,Household credit contract,Household pays/accrues interest to bank,Bank records gross interest income,Household bears direct contractual financing cost,"Bank profit remains after funding, operating, credit-loss and tax costs",This is a genuine direct household→bank gross-revenue channel when sector/contract is identified,DIRECT_HOUSEHOLD_CONTRACT,VERY_HIGH,V52 accounting identity
CREDIT_LOSS,Borrower delinquency/default,Borrower fails to pay; bank provisions/recognizes loss,Bank result decreases,Immediate accounting incidence is on bank capital/profit,Later recoveries/collections can change realized loss,Not a household payment to bank; distress may transmit as bank loss,INDIRECT_HOUSEHOLD_EXPOSURE,VERY_HIGH,V45/V50/V51
DEPOSIT_INTEREST,Deposit/funding contract,Bank pays/accrues interest to depositor,Bank records interest expense,Depositor receives income; bank bears funding cost,Households can sit on beneficiary side of this bank-cost channel,Opposite sign to household→bank transfer,DIRECT_HOUSEHOLD_CONTRACT_OPPOSITE_SIGN,VERY_HIGH,BCRA_IEF_JUN2024; V50/V51
MONETARY_RESULT,Inflation accounting,No bilateral contractual payment required,Bank recognizes purchasing-power result on monetary position,Incidence internal to net monetary exposure,No direct BCRA/Treasury/household counterparty follows from the accounting line,No direct household link,NO_DIRECT_HOUSEHOLD_CONTRACT,VERY_HIGH,V50/V51
