row_id,manual_date,layer,official_rule,target_test,inference_limit,source_id,locator
PB143_01,2005-08-16,Devengado,Las comisiones bancarias pueden registrar compromiso y devengado simultáneamente.,identificar partida y formulario de gasto,No identifica la comisión target.,e0_dgsiaf_slu_system_description_v3,p. física 72 / interna 69
PB143_02,2005-08-16,Emisión del medio de pago,Todo medio que genere movimiento de fondos debe registrarse en extracto interno o Libro Banco para su conciliación posterior.,exigir el lado interno del movimiento,"Regla de diseño, no prueba de registro individual.",e0_dgsiaf_slu_system_description_v3,p. física 108 / interna 105
PB143_03,2005-08-16,Carta de crédito,Tiene gastos y comisiones asociados.,ruta alternativa positiva,No atribuir automáticamente al servicio de deuda.,e0_dgsiaf_slu_system_description_v3,p. física 109 / interna 106
PB143_04,2005-08-16,Servicio de la Deuda Pública,No cobra gastos y comisiones.,control negativo decisivo,Describe el tipo de nota/medio; no niega todo gasto bancario externo al pago.,e0_dgsiaf_slu_system_description_v3,p. física 109 / interna 106
PB143_05,2005-08-16,Transferencias al exterior,Tienen gastos y comisiones asociados.,ruta alternativa positiva,Debe probarse el tipo de operación target.,e0_dgsiaf_slu_system_description_v3,p. física 109 / interna 106
PB143_06,2005-08-16,Cuenta de gastos,Carta de crédito y transferencia al exterior debitan gastos y comisiones de una cuenta determinada del servicio.,pedir banco;sucursal;cuenta de gastos,La cuenta no prueba el concepto sin movimiento.,e0_dgsiaf_slu_system_description_v3,p. física 109 / interna 106
PB143_07,2005-08-16,Anulación,La anulación posterior a emitir el medio produce contraasiento en extracto interno o Libro Banco.,buscar original y reversa,Contraasiento no prueba finalidad económica.,e0_dgsiaf_slu_system_description_v3,p. física 111 / interna 108
PB143_08,2005-08-16,Rechazo bancario,El rechazo de orden bancaria o cheque activa la anulación por rechazo.,buscar rechazo y código causal,Rechazo no equivale a ejecución.,e0_dgsiaf_slu_system_description_v3,p. física 111 / interna 108
PB143_09,2005-08-16,Objetivo de conciliación,Compara débitos y créditos del extracto bancario/escritural con registros internos y Libro Banco.,exigir ambos lados,Concordancia formal no prueba causa sin respaldo.,e0_dgsiaf_slu_system_description_v3,p. física 113 / interna 110
PB143_10,2005-08-16,Registro interno,Las comisiones bancarias son ejemplo expreso de movimiento incorporado al extracto interno por conciliación.,buscar gasto/comisión como aplicación,No aporta código exacto 2008.,e0_dgsiaf_slu_system_description_v3,p. física 114 / interna 111
PB143_11,2005-08-16,Conciliación automática de pagos,Débitos por pagos y créditos por rechazos del extracto interno se aparean con el extracto escritural.,"separar pago, rechazo y comisión","Categorías funcionales, no fila target.",e0_dgsiaf_slu_system_description_v3,p. física 114 / interna 111
PB143_12,2005-08-16,Débito diario automático,El débito diario automático de cuenta recaudadora se aparea con el crédito de la cuenta escritural.,control de débito automático no-comisión,No todo débito automático es gasto bancario.,e0_dgsiaf_slu_system_description_v3,p. física 114-115 / interna 111-112
PB143_13,2005-08-16,Regularización manual,Sólo se regularizan manualmente movimientos no procesados antes por conciliación automática.,"pedir motivo, usuario, fecha y regla",La regularización manual no sustituye el movimiento original.,e0_dgsiaf_slu_system_description_v3,p. física 116 / interna 113
PB143_14,2001-06,Nota de pago,"La cuenta de gastos identifica banco, sucursal y cuenta donde se debitan comisiones o gastos de transferencia.",pedir cuenta de gastos y nota asociada,Manual anterior; confirmar versión aplicada en 2008.,e0_dgsiaf_slu_note_payment_2001,DOC · Pagos por Nota · campo cuenta de gastos

