episodio,fecha_clave,tipo,signo_hogar,signo_banco,signo_fiscal_publico,clasificacion,evidencia,falsificador_o_limite,fuente_principal,nivel
2002-03 crisis/salida convertibilidad,2002-2003,shock/recovery macro,COST_HIGH,COST_HIGH / systemic stress,MIXED,COST_TO_BOTH / SPECIAL_CRISIS,"El proyecto incluye el episodio como origen histórico, pero V41 no agrega una identificación documental nueva de incidencia regulatoria comparable a 2014+.",No usar este episodio para inferir un signo regulatorio pro/anti banco sin reconstrucción documental específica.,Proyecto ciclo ajuste + series históricas previas,BACKGROUND / NEEDS_DOCUMENTARY_BRANCH
2008 crisis global,2008,shock externo,NO_ROBUST_IMMEDIATE_DRAWDOWN,HETEROGENEOUS,N/D,FALSIFIER_OF_UNIVERSAL_CYCLE,V31 usa 2008 como falsificador de una caída contemporánea/profunda del hogar bajo especificaciones razonables.,Refuta la ley universal 'toda crisis golpea primero/profundamente al hogar'.,VEREDICTO_CICLO_AJUSTE_V31,EMPIRICAL_FALSIFIER
A5590 — topes a tasas,2014-06-10,regulación de crédito,PROTECTION,PRICING_CONSTRAINT,NEUTRAL_DIRECT,HOUSEHOLD_PROTECTION / BANK_CONSTRAINT,BCRA declaró que el objetivo era limitar el costo del crédito para segmentos vulnerables; la norma impone tasa máxima cuando el cap es vinculante.,Falsifica una narrativa de regulación financiera siempre favorable a libertad/margen bancario.,https://www.bcra.gob.ar/publicaciones/informe-monetario-mensual-mayo-de-2014/,PRIMARY_OFFICIAL
A5853 — eliminación de topes,2015-12-17,desregulación de tasas,LOSS_OF_CAP_PROTECTION,PRICING_FREEDOM,NEUTRAL_DIRECT,BANK_PRICING_FREEDOM / HOUSEHOLD_PROTECTION_REMOVED,El BCRA dejó sin efecto la regulación de tasas y dispuso libre concertación para nuevas operaciones.,Signo opuesto a A5590/A5928; objetivo declarado más amplio de normalización monetaria/cambiaria.,https://www.bcra.gob.ar/archivos/Pdfs/Informacion_usuario/pta_44090_201512.pdf,PRIMARY_OFFICIAL
A5928 — seguro saldo deudor,2016-09-01 efectiva,protección usuario / costo crediticio,PROTECTION / LOWER_CFT_COMPONENT,DIRECT_COST_RISK_SHIFT + SERVICE_CHANNEL_PRESSURE,NEUTRAL_DIRECT,HOUSEHOLD_PROTECTION / BANK_COST_SHIFT,Prohíbe cobrar al usuario el seguro; banco compra cobertura o autoasegura. BCRA documenta menor CFT con TNA estable. V34-V40 validan mecanismo multibanco y canal de servicios.,Control positivo fuerte contra tesis de signo regulatorio siempre pro-banco. Utilidad neta sigue N/D.,V34–V40 + A5928/BCRA,PRIMARY + MATCHED_PRODUCT + DISCLOSURES
Shock 2018 — restricciones prudenciales/cambiarias,2018-05 a 2018-07,estabilización monetaria/cambiaria,MACRO_COST / CREDIT_TIGHTENING_POSSIBLE,EXPLICIT_CONSTRAINTS,MACRO_STABILIZATION,COST_TO_BOTH / STABILITY_OBJECTIVE,BCRA redujo posición global neta positiva en moneda extranjera y elevó encajes para retirar liquidez.,Contradice una lectura donde 2018 sólo protege a bancos; hubo costos/restricciones directas al sistema financiero.,https://www.bcra.gob.ar/archivos/Pdfs/PoliticaMonetaria/IPOM0718.pdf,PRIMARY_OFFICIAL
2018 — pisos/ajustadores sociales FMI,2018-06 a 2018-10,mitigación social dentro del ajuste,TARGETED_PROTECTION,NO_DIRECT_SIGN,FISCAL_COST / FLEXIBILITY,HOUSEHOLD_MITIGATION,El programa incorporó pisos/ajustadores vinculados a AUH/AUE/Ayuda Escolar y fortalecimiento de la red social.,El paquete de ajuste no tiene un único signo distributivo; coexistieron contracción y mitigación.,Corpus documental V32 — FMI 2018,PRIMARY_INSTITUTIONAL
COVID 2020,2020,shock sanitario / régimen extraordinario,SPECIAL_PROTECTION + SHOCK,FORBEARANCE / ACCOUNTING_BREAK,EXTRAORDINARY_EXPANSION,SPECIAL_REGIME_NOT_DIRECTLY_COMPARABLE,V31 mantiene COVID fuera de comparaciones simples por quiebres contables y mecanismo específico.,No usar para generalizar recovery clocks sin tratamiento especial.,VEREDICTO_CICLO_AJUSTE_V31,METHODOLOGICAL_EXCLUSION
Paquete inicial dic-2023,2023-12-12/13,ajuste fiscal/cambiario/monetario,SHORT_RUN_COST_ANTICIPATED,N/D / MACRO_CHANNELS_MIXED,CONSOLIDATION,HOUSEHOLD_MACRO_COST / BANK_SIGN_AMBIGUOUS,"Documentos oficiales anticipan estanflación/costos transitorios y recortes en previsión, transferencias, subsidios y capital.",No identifica una transferencia hogar→banco ni beneficio bancario como objetivo.,Corpus documental V32 — BCRA/PE 2023,PRIMARY_OFFICIAL
AUH +100%,2024-01,mitigación social,PROTECTION,NO_DIRECT_SIGN,FISCAL_COST,HOUSEHOLD_MITIGATION,Decreto 117/2023 duplicó AUH/AUE desde enero 2024.,No neutralizó el shock inicial por sí sola; su magnitud causal total sigue pendiente de microsim V33.,https://www.argentina.gob.ar/normativa/nacional/decreto-117-2023-395731/texto,PRIMARY_OFFICIAL
Prestación Alimentar 2024,2024-02 y 2024-10,mitigación social,PROTECTION / EXPANDED_ELIGIBILITY,NO_DIRECT_SIGN,FISCAL_COST,HOUSEHOLD_MITIGATION,Aumentos de montos y ampliación etaria hasta 17 años desde liquidación de octubre.,Magnitud causal sobre ingresos/pobreza aún requiere EPH V33 corregida.,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-636-2024-403940/texto,PRIMARY_OFFICIAL
