proposicion,estado,evidencia_a_favor,evidencia_en_contra_falsificador,alcance,gap_restante
H1.1 · hogares absorben primero el shock,MIXED,"2014, 2018 y dic-2023 muestran deterioro contemporáneo fuerte de ingreso/salario",2008 no muestra drawdown inmediato/profundo robusto,todas las crisis,taxonomía del shock
H1.1R · hogares absorben primero en shocks domésticos cambiarios/de ajuste,STRONG_SUPPORT,"2014, 2018 y 2023 muestran onset rápido del deterioro hogar; 2015 apoyo mixto",2023 luego tiene amortiguación social mucho más rápida,familia doméstica,más episodios independientes
H1.2 · cae ingreso real,STRONG_SUPPORT,"salarios/ingreso caen en 2014, 2018 y 2023-24",no es una propiedad de 2008 bajo todas las ventanas,shocks domésticos,definir outcome: registrado vs amplio
H1.3 · aumenta necesidad/uso de crédito inmediatamente,MIXED,expansión crediticia posterior y altas de nuevos deudores; mayor acceso PNFC,1S24: saldo por deudor todavía se contrae al inicio; expansión visible desde mar-abr/mayo,2023-25,micro de necesidad vs oferta
H1.4 · sube costo financiero real,MODERATE_SUPPORT,el costo real del crédito aparece alto/recurrente en varias ventanas; spreads/CFTEA documentados,no es una constante universal; CFT histórico tiene quiebres y falta dataset realizado 2013-16 completo,histórico,serie all-in homogénea
H1.5 · mora aparece con rezago,STRONG_SUPPORT,vintages IV23/I24 peores; deuda/servicio crece antes que mora; 2025-26 irregularidad hogares sube,NIIF9 permite reconocer pérdida esperada antes de mora; mora observada no es único reloj,2023-26 y mecanismo institucional,histórico homogéneo de cohortes
H1.6 · la macro mejora luego,MIXED,"2024: desinflación, actividad y empleo mejoran después del shock",demasiado amplia; no todos los episodios tienen misma dinámica/ventana,por episodio,definir macro outcome ex ante
H1.7 · hogares recuperan parcialmente,STRONG_SUPPORT,"2023-25: pobreza, ingreso amplio y consumo recuperan; 2014/18 muestran recuperación incompleta antes del censor",no existe una sola fecha de recovery del hogar,multidimensional,vector común por episodio
H1.8 · determinadas posiciones financieras recuperan antes,MIXED,2014/18: overshoot bancario y recovery más rápida que salario/pobreza/consumo,2023-25: banco luego entra en deterioro mientras varias métricas sociales ya recuperan; frecuencia contable cambia,general,serie bancaria maestra por régimen
H1.8R · recovery financiera antes en 2014/2018,MODERATE_SUPPORT,pilotos bancarios muestran overshoot → drawdown → recuperación en meses; hogares quedan censurados,n pequeño; 2014 fecha exacta recovery requiere serie mensual maestra completa,2014/2018,serie maestra BCRA
