claim,status_v41,change_vs_v31_v40,reason
UNIVERSAL_CYCLE,REJECTED,V31,2008/COVID/2023 multidimensional falsify simple universal law.
DOMESTIC_ADJUSTMENT_PATTERN,MODERATE_SUPPORT,UNCHANGED,2014/2018 strong; 2015 mixed; 2023 shares onset/overshoot but social residual differs.
INSTITUTIONAL_BUFFER_ASYMMETRY,STRONG_SUPPORT,UNCHANGED / INTERPRETATION_STRENGTHENED,V41 shows it does not require policies to always favor banks.
UNIVERSAL_PRO_BANK_REGULATORY_SIGN,REJECTED,NEW_V41,A5590/A5928/2018 constraints are direct counterexamples.
POLICY_SIGN_HETEROGENEITY,STRONG_SUPPORT,NEW_V41,"Household protection, bank pricing freedom, bank constraints, cost-to-both, social mitigation coexist."
STRUCTURAL_ASYMMETRY_REQUIRES_PRO_BANK_RULES,REJECTED,NEW_V41,Structural buffer asymmetry can coexist with anti-bank or pro-household rules.
A5928_FALSIFICATION_CONTROL,STRONG_SUPPORT,NEW_V41,Best-developed positive control against one-sign institutional narrative.
DIRECT_HOUSEHOLD_TO_BANK_TRANSFER,N/D,UNCHANGED,No one-to-one accounting identity; A5795/A5928 further demonstrates why.
DELIBERATE_HOUSEHOLD_TO_BANK_COORDINATION,NOT_ESTABLISHED,UNCHANGED,Ordinary coordination exists; distributive coordination with this objective not documented.
2024_RECOVERY_SINGLE_CHANNEL,REJECTED,UNCHANGED,V31 says multi-channel; causal decomposition awaits V33 EPH execution.
