evidence_id,item,status,period,universe,measure_type,metric,value_numeric,value_text,unit,comparison,formula,classification,confidence,source_organization,source_title,source_url,local_source,limitations
H01_AHORRO,1,hallazgo,2025-S1,Hogares de 31 aglomerados urbanos,incidencia declarada,Hogares que gastaron ahorros,37.4,,% de hogares,"40,1% en 2024-S1; 38,9% en 2024-S2",estimación ponderada EPH publicada,observado,alta,INDEC,Estrategias de manutención. ¿Cómo organizan su economía los hogares argentinos?,https://www.indec.gob.ar/ftp/cuadros/publicaciones/dosier_estrategias_manutencion_2025.pdf,data/fuentes/hogares/indec/indec_estrategias_manutencion_2025.pdf,Respuesta multiopción; no mide pesos retirados ni permite identificar por sí sola hogares sin otras estrategias. PDF p.4 y p.13.
H01_DESCAP,1,hallazgo,2025-S1,Hogares de 31 aglomerados urbanos,unión publicada,Usó ahorros o vendió pertenencias,40.8,,% de hogares,"bajo 42,8%; medio 40,6%; alto 37,1%",unión calculada por INDEC a partir de microdatos EPH,observado,alta,INDEC,Estrategias de manutención. ¿Cómo organizan su economía los hogares argentinos?,https://www.indec.gob.ar/ftp/cuadros/publicaciones/dosier_estrategias_manutencion_2025.pdf,data/fuentes/hogares/indec/indec_estrategias_manutencion_2025.pdf,No sumar con préstamos o cuotas: las estrategias pueden superponerse. PDF p.7 y p.9.
H01_PRESTAMOS,1,hallazgo,2025-S1,Hogares de 31 aglomerados urbanos,unión publicada,Solicitó préstamos a instituciones o familiares/amigos,25.5,,% de hogares,"bajo 30,4%; medio 23,9%; alto 18,6%",unión calculada por INDEC a partir de microdatos EPH,observado,alta,INDEC,Estrategias de manutención. ¿Cómo organizan su economía los hogares argentinos?,https://www.indec.gob.ar/ftp/cuadros/publicaciones/dosier_estrategias_manutencion_2025.pdf,data/fuentes/hogares/indec/indec_estrategias_manutencion_2025.pdf,"No equivale a personas deudoras, saldo de deuda ni mora; no sumar entre fuentes. PDF p.7 y p.8."
H01_CUOTAS,1,hallazgo,2025-S1,Hogares de 31 aglomerados urbanos,incidencia declarada,Compró en cuotas o fiado con tarjeta/libreta,50.9,,% de hogares,"22,0% en 2003-S2",estimación ponderada EPH publicada,observado,alta,INDEC,Estrategias de manutención. ¿Cómo organizan su economía los hogares argentinos?,https://www.indec.gob.ar/ftp/cuadros/publicaciones/dosier_estrategias_manutencion_2025.pdf,data/fuentes/hogares/indec/indec_estrategias_manutencion_2025.pdf,Financiación de compras no implica necesariamente estrés ni mora; respuesta multiopción. PDF p.4.
H02_RUNWAY_GAP,2,brecha,corte 2026-08-31,Hogares tipo,modelo requerido,Mes de agotamiento del ahorro por hogar,,No disponible,mes,,ceil(ahorro inicial / déficit corriente mensual),no disponible,alta sobre la brecha,INDEC,Estrategias de manutención. ¿Cómo organizan su economía los hogares argentinos?,https://www.indec.gob.ar/ftp/cuadros/publicaciones/dosier_estrategias_manutencion_2025.pdf,data/fuentes/hogares/indec/indec_estrategias_manutencion_2025.pdf,"Faltan microdatos conjuntos y comparables de ingreso neto, gasto esencial, alquiler, ahorro inicial, servicio de deuda y CFTEA contractual."
H05_POBREZA,5,hallazgo,2024-S1 a 2025-S2,Personas de 31 aglomerados urbanos,incidencia de pobreza,Cambio de pobreza,-24.7,,puntos porcentuales,"52,9% a 28,2%","28,2 - 52,9",observado,alta,INDEC,Incidencia de la pobreza y la indigencia en 31 aglomerados urbanos,https://www.indec.gob.ar/indec/web/Nivel4-Tema-4-46-152,data/fuentes/morosidad/metodologia/AUDITORIA_CAUSAS_MORA_POBREZA_DESEMPLEO.md,"Personas; no mide patrimonio, deuda ni las mismas unidades que mora. Los valores se trazan en la auditoría causal local a publicaciones INDEC."
H05_MORA_DIVERGE,5,hallazgo,2024-S1 a 2025-S2,Saldo bancario de personales + tarjetas de familias,promedio semestral de cartera irregular,Cambio de mora mientras cayó la pobreza,5.938615,,puntos porcentuales,2.602% a 8.541% (3.28 veces),promedio(meses 2025-S2) - promedio(meses 2024-S1),observado,alta descriptiva,BCRA,"Informe sobre Bancos, mayo de 2026 y series oficiales",https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-junio-de-2026/,Mora/05_ANALISIS_Y_CALCULOS/datos/morosidad_hogares.csv,Divergencia agregada con denominadores distintos; no identifica transición individual ni causalidad.
C12_COBERTURA_PERSONALES,12,hallazgo,2025-12,Personas adultas con préstamo personal reportable en CENDEU,cobertura,Personas con préstamo personal,32.19603,,% de población adulta,23.10% en 2024-07; +9.09 pp dentro del régimen,personas informadas / población adulta,observado,alta,BCRA,"Informe de Inclusión Financiera, segundo semestre de 2025",https://www.bcra.gob.ar/publicaciones/informe-de-inclusion-financiera-segundo-semestre-de-2025/,Mora/03_DATOS_OFICIALES/BCRA/Anexo_Inclusion_Financiera_abril_2026.xlsx,Desde julio de 2024 el umbral reportable es $25.000; junio-julio no es comparable. No equivale a hogares ni a mora.
C12_MORA_BANCARIA,12,hallazgo,2023-11 a 2026-05,Saldo financiado a hogares por entidades financieras,cartera irregular / financiaciones,Mora bancaria de hogares,12.795302,,% del saldo,2.70% a 12.80%; +10.10 pp,cartera irregular de familias / financiaciones a familias,observado,alta,BCRA,"Informe sobre Bancos, mayo de 2026 y series oficiales",https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-junio-de-2026/,Mora/05_ANALISIS_Y_CALCULOS/datos/morosidad_hogares.csv,"Saldo, no personas ni nuevos morosos; cambia también por originación, pagos, castigos, ventas y reclasificación."
C12_MORA_PNFC,12,hallazgo,2023-11 a 2026-02,Saldo de proveedores no financieros de crédito,cartera >90 días / cartera,Mora PNFC total,26.9,,% del saldo,10.8% a 26.9%; +16.1 pp,saldo PNFC con mora >90 días / saldo PNFC,observado,alta,BCRA,"Informe de Proveedores No Financieros de Crédito, junio de 2026",https://www.bcra.gob.ar/publicaciones/informe-de-proveedores-no-financieros-de-credito-junio-de-2026/,Mora/05_ANALISIS_Y_CALCULOS/datos/morosidad_pnfc.csv,Universo y definición no idénticos a bancos; no sumar ambos porcentajes ni convertirlos en personas.
C13_SUBSISTENCIA_PROXY,13,hallazgo,2025-S1,Hogares de 31 aglomerados urbanos,estrategia de manutención,Financiación de compras corrientes en cuotas o fiado,50.9,,% de hogares,Proxy de uso; no monto,estimación ponderada EPH publicada,proxy,media,INDEC,Estrategias de manutención. ¿Cómo organizan su economía los hogares argentinos?,https://www.indec.gob.ar/ftp/cuadros/publicaciones/dosier_estrategias_manutencion_2025.pdf,data/fuentes/hogares/indec/indec_estrategias_manutencion_2025.pdf,"La pregunta identifica estrategia para manutención, pero no separa gasto esencial, durable, pago mínimo, refinanciación ni servicio deuda/ingreso."
C14_INCLUSION_EXPANSION,14,hallazgo,2024-07 a 2025-12,Personas adultas con préstamo personal reportable en CENDEU,cambio de cobertura,Expansión de acceso a personales dentro del mismo régimen,9.09486,,puntos porcentuales,"23,10% a 32,20%",cobertura dic-2025 - cobertura jul-2024,observado,alta,BCRA,"Informe de Inclusión Financiera, segundo semestre de 2025",https://www.bcra.gob.ar/publicaciones/informe-de-inclusion-financiera-segundo-semestre-de-2025/,Mora/03_DATOS_OFICIALES/BCRA/Anexo_Inclusion_Financiera_abril_2026.xlsx,"No enlaza cada nuevo prestatario con tasa, score y resultado a 3/6/12 meses; no demuestra monetización de exclusión."
C15_ROA,15,hallazgo,2023-12 a 2025-12,Sistema financiero agregado AA000,rentabilidad contable,ROA,1.02,,%,5.42% a 1.02%,indicador BCRA agregado,observado,alta,BCRA,"Informe sobre Bancos, mayo de 2026 y series oficiales",https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-junio-de-2026/,Mora/05_ANALISIS_Y_CALCULOS/datos/morosidad_hogares.csv,No identifica rentabilidad de préstamos personales ni transferencia hogar→banco.
C15_IRREGULARIDAD,15,hallazgo,2023-12 a 2026-03 (publicación 2026-05),Sistema financiero agregado AA000,calidad de cartera,Cartera irregular de consumo,12.58,,%,2.75% a 12.58%,indicador BCRA agregado,observado,alta,BCRA,"Informe sobre Bancos, mayo de 2026 y series oficiales",https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-junio-de-2026/,Mora/05_ANALISIS_Y_CALCULOS/datos/morosidad_hogares.csv,El corte local 2026-05 porta indicadores a marzo de 2026; no confundir con mora de familias a mayo.
C15_DISTRIBUCION_ENTIDADES,15,hallazgo,publicación 2026-05,73 entidades financieras informadas,conteo de signo del resultado estimado,Entidades con resultado estimado positivo,50,,entidades,23 negativas; 0 cero,conteo por entidad de resultado integral menos ORI,observado,media-alta,BCRA,"Informe sobre Bancos, mayo de 2026 y series oficiales",https://www.bcra.gob.ar/publicaciones/informe-sobre-bancos-junio-de-2026/,Mora/05_ANALISIS_Y_CALCULOS/datos/morosidad_hogares.csv,"Sumas por entidad no consolidadas; signo contable total, no desempeño del producto personal."
