risk_id,risk_or_capability,official_finding,controlled_use,source_id,status,target_2008_proof,request_consequence
SR147_01,loan_and_security_lifecycle,SIGADE cubre préstamos y títulos desde documentación fuente hasta cancelación.,CAPABILITY_NOT_TARGET,e0_agn_report_65_2022_sigade_information_system,OFFICIAL_LATER_PERIOD_COMPARATOR,FALSE,"Pedir fila nativa, planilla/papel externo, intervención, autorización y cálculo no redondeado cuando corresponda."
SR147_02,sidif_link_interface,SIDIF-Link transmitía entre SIGADE y e-SIDIF/SIDIF mediante Recursos y Gastos.,ARCHITECTURE,e0_agn_report_65_2022_sigade_information_system,OFFICIAL_LATER_PERIOD_COMPARATOR,FALSE,"Pedir fila nativa, planilla/papel externo, intervención, autorización y cálculo no redondeado cuando corresponda."
SR147_03,automatic_link_2020,La vinculación automática SIGADE–e-SIDIF comenzó en noviembre de 2020.,DO_NOT_RETROJECT_TO_2008,e0_agn_report_65_2022_sigade_information_system,OFFICIAL_LATER_PERIOD_COMPARATOR,FALSE,"Pedir fila nativa, planilla/papel externo, intervención, autorización y cálculo no redondeado cuando corresponda."
SR147_04,shared_spreadsheets,Planillas compartidas se usaban para controles pre/post y conciliaciones.,SIDECAR_ESSENTIAL,e0_agn_report_65_2022_sigade_information_system,OFFICIAL_LATER_PERIOD_COMPARATOR,FALSE,"Pedir fila nativa, planilla/papel externo, intervención, autorización y cálculo no redondeado cuando corresponda."
SR147_05,cell_initials,Usuarios dejaban iniciales en celdas como trazabilidad operativa.,WEAK_AUDIT_TRAIL,e0_agn_report_65_2022_sigade_information_system,OFFICIAL_LATER_PERIOD_COMPARATOR,FALSE,"Pedir fila nativa, planilla/papel externo, intervención, autorización y cálculo no redondeado cuando corresponda."
SR147_06,manual_database_intervention,Inconsistencias podían requerir intervenciones manuales sobre la base.,REQUEST_TICKETS_AND_BEFORE_AFTER,e0_agn_report_65_2022_sigade_information_system,OFFICIAL_LATER_PERIOD_COMPARATOR,FALSE,"Pedir fila nativa, planilla/papel externo, intervención, autorización y cálculo no redondeado cuando corresponda."
SR147_07,decimal_precision,La precisión decimal limitada generaba ajustes.,REQUEST_UNROUNDED_CALCULATION,e0_agn_report_65_2022_sigade_information_system,OFFICIAL_LATER_PERIOD_COMPARATOR,FALSE,"Pedir fila nativa, planilla/papel externo, intervención, autorización y cálculo no redondeado cuando corresponda."
SR147_08,attachments_unused,La función SIGADE para adjuntar Word/Excel/PDF no era utilizada.,REQUEST_EXTERNAL_DOCUMENT_FOLDER,e0_agn_report_65_2022_sigade_information_system,OFFICIAL_LATER_PERIOD_COMPARATOR,FALSE,"Pedir fila nativa, planilla/papel externo, intervención, autorización y cálculo no redondeado cuando corresponda."
SR147_09,rectification_outside_sigade,Se rectificaban datos de instrumentos por fuera de SIGADE.,SYSTEM_ROW_NOT_COMPLETE_TRUTH,e0_agn_report_65_2022_sigade_information_system,OFFICIAL_LATER_PERIOD_COMPARATOR,FALSE,"Pedir fila nativa, planilla/papel externo, intervención, autorización y cálculo no redondeado cuando corresponda."
SR147_10,generic_admin_account,Cuentas administrativas genéricas podían debilitar atribución.,REQUEST_USER_AND_AUTHORIZATION,e0_agn_report_65_2022_sigade_information_system,OFFICIAL_LATER_PERIOD_COMPARATOR,FALSE,"Pedir fila nativa, planilla/papel externo, intervención, autorización y cálculo no redondeado cuando corresponda."
SR147_11,mandatory_fields_instruction,No se exhibió instrucción que definiera campos obligatorios y modo de carga.,LATER_CONTROL_RISK,e0_agn_resolution_86_2021_public_debt_control,OFFICIAL_LATER_PERIOD_COMPARATOR,FALSE,"Pedir fila nativa, planilla/papel externo, intervención, autorización y cálculo no redondeado cuando corresponda."
SR147_12,validation_not_used,La validación de datos incorporada en SIGADE no era aplicada.,LATER_CONTROL_RISK,e0_agn_resolution_86_2021_public_debt_control,OFFICIAL_LATER_PERIOD_COMPARATOR,FALSE,"Pedir fila nativa, planilla/papel externo, intervención, autorización y cálculo no redondeado cuando corresponda."
SR147_13,monthly_alternative_controls,Se invocaron controles mensuales alternativos.,REQUEST_CONTROL_OUTPUT,e0_agn_resolution_86_2021_public_debt_control,OFFICIAL_LATER_PERIOD_COMPARATOR,FALSE,"Pedir fila nativa, planilla/papel externo, intervención, autorización y cálculo no redondeado cuando corresponda."
SR147_14,excel_number_allocation,La numeración de instrumentos se controlaba en una planilla Excel.,REQUEST_CROSSWALK,e0_agn_resolution_86_2021_public_debt_control,OFFICIAL_LATER_PERIOD_COMPARATOR,FALSE,"Pedir fila nativa, planilla/papel externo, intervención, autorización y cálculo no redondeado cuando corresponda."
SR147_15,temporal_limit,Los hallazgos corresponden a períodos posteriores al objeto 2008.,COMPARATOR_ONLY,e0_agn_resolution_86_2021_public_debt_control,OFFICIAL_LATER_PERIOD_COMPARATOR,FALSE,"Pedir fila nativa, planilla/papel externo, intervención, autorización y cálculo no redondeado cuando corresponda."

